Unnamed: 0,mse,r2,g,l2n,true,pred,truemax,predmax,id,eve_id,max_off,wave_period,dominant_period,mean_prob,dzmax,dzmin,count,dmax,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id,max_off_bin,split,Mag
3461,0.5465068244639243,0.0441977754786568,0.2372310645496543,0.8270736924386987,164219.0,239349.0,8.517311096191406,8.880988121032715,BS_manning003/E01108N3882E01527N3690-BS-M809_E01474N3737_D010_S247D70R090_A012497_S042,E01108N3882E01527N3690-BS-M809_E01474N3737_D010_S247D70R090_A012497_S042,1.79,23,30.0,3.655682297500108e-09,1.441,-2.514,164219,8.517,14.7416,37.3774,37371474,120.0,2.514,0.0,6.5436713125251945e-09,1.8674136321195144e-05,158.0,"37.157,14.442","(1.0, 2.0]",test,8.0933
11327,0.543161779595156,0.5002983614305228,0.3022706640665926,1.1636419382218572,212907.0,80121.0,9.466971397399902,11.631065368652344,BS_manning003/E01267N3753E01646N3535-BS-M809_E01530N3737_D144_S202D30R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01530N3737_D144_S202D30R270_A006995_S075,1.45,13,48.0,1.1709503481980721e-09,0.625,-0.437,212907,9.467,15.3075,37.3774,37371530,1315.0,0.625,0.0,1.697878004887204e-09,1.8674136321195144e-05,1315.0,"37.157,15.042","(1.0, 2.0]",test,8.0933
2656,0.5409744305174139,0.7079752396325287,0.1236972346147915,1.7661788188001226,356732.0,258698.0,13.700119018554688,9.585196495056152,BS_manning003/E01470N3877E01631N3641-BS-M809_E01534N3760_D010_S202D70R270_A012497_S042,E01470N3877E01631N3641-BS-M809_E01534N3760_D010_S202D70R270_A012497_S042,1.99,19,21.8,4.712588972656394e-09,1.806,1.101,356732,13.7,15.3446,37.6022,37601534,569.0,1.806,0.0,9.378052055586224e-09,1.8674136321195144e-05,575.0,"37.457,15.342","(1.0, 2.0]",test,8.0933
1786,0.5265453029644577,0.0772832062347727,0.7133427435623554,0.811770821115626,94371.0,57968.0,5.51237678527832,3.969382286071777,BS_manning003/E01267N3753E01646N3535-BS-M809_E01498N3715_D010_S157D30R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01498N3715_D010_S157D30R270_A006995_S075,0.48,32,24.0,9.519644507454505e-09,3.333,-0.434,94371,5.512,14.9887,37.1526,37151498,656.0,3.333,0.0,4.569429363578162e-09,1.8674136321195144e-05,990.0,"36.857,14.742","(0.3, 1.0]",test,8.0933
11431,0.5248143057434467,0.7198570157765243,0.1413699360462496,1.4714560653791713,139779.0,227151.0,17.74190902709961,14.854531288146973,BS_4-8_manning003/E01267N3753E01646N3535-BS-M809_E01530N3737_D010_S112D90R090_A006995_S075,E01267N3753E01646N3535-BS-M809_E01530N3737_D010_S112D90R090_A006995_S075,3.54,18,11.4,1.999411293813917e-10,3.768,-3.748,139822,17.742,15.3075,37.3774,37371530,1315.0,3.768,0.0,7.077915980101262e-10,1.8674136321195144e-05,1315.0,"37.157,15.042","(3.0, 99.0]",test,8.0933
4448,0.5191241675357384,-0.3970076642099003,0.2875107773090911,0.6639918705156802,147783.0,232324.0,6.372987270355225,7.764080047607422,BS_manning003/E01267N3753E01646N3535-BS-M774_E01527N3715_D010_S337D70R090_A003139_S050,E01267N3753E01646N3535-BS-M774_E01527N3715_D010_S337D70R090_A003139_S050,2.34,38,24.0,9.276978886895142e-09,1.717,-3.017,147783,6.373,15.2708,37.1526,37151527,1118.0,3.017,0.0,2.1708130595334632e-08,1.8674136321195144e-05,2045.0,"36.857,15.042","(2.0, 3.0]",test,7.7453
2508,0.5087777566695962,0.8147786028767974,0.0477435184333894,2.5855645303478845,425614.0,392414.0,8.798328399658203,8.649252891540527,BS_manning003/E01267N3753E01646N3535-BS-M809_E01502N3737_D144_S157D30R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01502N3737_D144_S157D30R270_A006995_S075,2.11,21,30.0,2.378142727224295e-09,2.973,1.661,425614,8.798,15.0245,37.3774,37371502,919.0,2.973,0.0,5.017881154443263e-09,1.8674136321195144e-05,919.0,"37.157,14.742","(2.0, 3.0]",test,8.0933
7796,0.5071516973049799,0.3393540565740315,0.4211206449868423,0.9883359932248196,222614.0,48950.0,7.528213024139404,5.943230628967285,BS_manning003/E01470N3877E01631N3641-BS-M809_E01513N3805_D010_S292D50R270_A012497_S042,E01470N3877E01631N3641-BS-M809_E01513N3805_D010_S292D50R270_A012497_S042,1.94,27,30.0,5.750897145731968e-09,-0.089,-0.205,222614,7.528,15.1345,38.0519,38051513,120.0,0.205,0.0,1.1156740462720016e-08,1.8674136321195144e-05,261.0,"37.757,15.042","(1.0, 2.0]",test,8.0933
7642,0.5045686699678222,0.5652992640881461,0.2522245042949279,1.194770752769208,209312.0,87115.0,13.757697105407717,15.22631549835205,BS_manning003/E01267N3753E01646N3535-BS-M809_E01527N3715_D010_S022D30R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01527N3715_D010_S022D30R270_A006995_S075,1.31,11,10.4,5.445277850384211e-09,-0.098,-0.37,209312,13.758,15.2708,37.1526,37151527,1118.0,0.37,0.0,7.133313984003316e-09,1.8674136321195144e-05,2045.0,"36.857,15.042","(1.0, 2.0]",test,8.0933
9539,0.5040955120735664,0.4948220370788109,0.2938039237486175,1.0783477766437377,133305.0,109665.0,10.765511512756348,8.195261001586914,BS_manning003/E01267N3753E01646N3535-BS-M792_E01470N3715_D010_S067D70R270_A004781_S062,E01267N3753E01646N3535-BS-M792_E01470N3715_D010_S067D70R270_A004781_S062,1.67,10,24.0,2.431115994045692e-09,3.695,-2.136,133305,10.766,14.7066,37.1526,37151470,237.0,3.695,0.0,4.059963710056306e-09,1.8674136321195144e-05,337.0,"36.857,14.442","(1.0, 2.0]",test,7.928
3599,0.4943684508731208,0.8232579289173458,0.0444694358377447,2.562405322390118,436610.0,373796.0,10.20063018798828,11.421170234680176,BS_manning003/E01267N3753E01646N3535-BS-M809_E01530N3737_D144_S157D90R270_A006995_S075,E01267N3753E01646N3535-BS-M809_E01530N3737_D144_S157D90R270_A006995_S075,2.11,23,30.0,3.6909345519979374e-10,1.807,1.481,436610,10.201,15.3075,37.3774,37371530,1315.0,1.807,0.0,7.787871904715648e-10,1.8674136321195144e-05,1315.0,"37.157,15.042","(2.0, 3.0]",test,8.0933
3297,0.4922030372202395,0.732420703877243,0.0690003415198828,1.8721971653363256,380883.0,351428.0,8.450409889221191,8.254003524780273,BS_manning003/E01267N3753E01646N3535-BS-M792_E01502N3737_D010_S112D30R270_A004781_S062,E01267N3753E01646N3535-BS-M792_E01502N3737_D010_S112D30R270_A004781_S062,1.5,37,30.0,5.792228172947608e-09,2.752,-0.352,380883,8.45,15.0245,37.3774,37371502,919.0,2.752,0.0,8.688342259421412e-09,1.8674136321195144e-05,919.0,"37.157,14.742","(1.0, 2.0]",test,7.928
7370,0.4921365642582418,0.6805602904100673,0.1411322419865427,1.5198009793590028,266211.0,209255.0,8.842015266418457,8.976184844970703,BS_manning003/E01267N3753E01646N3535-BS-M774_E01502N3737_D010_S112D70R270_A003139_S050,E01267N3753E01646N3535-BS-M774_E01502N3737_D010_S112D70R270_A003139_S050,1.45,20,30.0,6.3830905132271605e-09,2.99,-1.734,266211,8.842,15.0245,37.3774,37371502,919.0,2.99,0.0,9.255481244179384e-09,1.8674136321195144e-05,919.0,"37.157,14.742","(1.0, 2.0]",test,7.7453
10037,0.4906000389759902,0.4694408409454678,0.174398081737178,1.0947663798443088,197436.0,275357.0,6.435543060302734,7.610793113708496,BS_manning003/E01108N3882E01527N3690-BS-M792_E01506N3760_D010_S337D70R270_A008541_S034,E01108N3882E01527N3690-BS-M792_E01506N3760_D010_S337D70R270_A008541_S034,0.79,11,30.0,1.2684514955570272e-09,2.084,-1.186,197436,6.436,15.0608,37.6022,37601506,255.0,2.084,0.0,1.0020766814900515e-09,1.8674136321195144e-05,255.0,"37.457,15.042","(0.3, 1.0]",test,7.928
