,Train_size,Depth,Site,True,Pred,Bias,Sigma
23,529,2.5,12,2.2698084423608207e-08,1e-11,-2.2688084423608206e-08,6.131807357648969e-08
24,892,2.5,1,9.790820556949785e-06,1.6314944749598787e-05,6.524124192649002e-06,1.0423147149412547e-05
25,892,2.5,2,6.9633672609836665e-06,1.0048124989706903e-05,3.084757728723236e-06,8.955322620984401e-06
26,892,2.5,3,1.6397590145028309e-06,2.9483291065921198e-06,1.308570092089289e-06,1.8389452294231276e-06
27,892,2.5,4,1.7544427594776545e-05,2.44769713827929e-05,6.932543788016353e-06,1.749123919713175e-05
28,892,2.5,5,0.0001627210058078646,0.0001949425250776829,3.222151926981828e-05,7.608824164238439e-05
29,892,2.5,6,4.980955713710995e-06,6.2266904653687275e-06,1.2457347516577323e-06,4.218122916446479e-06
30,892,2.5,7,2.0570886881830543e-05,2.478488217968845e-05,4.213995297857906e-06,1.4917656758908677e-05
31,892,2.5,8,9.768929627346277e-07,9.4786664014471e-07,-2.902632258991762e-08,1.381266662219619e-06
32,892,2.5,9,1.4935754808249986e-05,1.5364625723933822e-05,4.2887091568383584e-07,1.407657213325727e-05
33,892,2.5,10,1.585005364599623e-06,2.8675499704246916e-06,1.2825446058250687e-06,1.891474011981025e-06
34,892,2.5,11,8.031347903566456e-07,9.554089505157061e-07,1.5227416015906048e-07,5.738601775866021e-07
35,892,2.5,12,2.2698084423608207e-08,7.83038287666727e-10,-2.1915046135941482e-08,1.1662108693918607e-07
36,1658,2.5,1,9.790820556949785e-06,1.200920570290758e-05,2.218385145957795e-06,9.832147004509763e-06
37,1658,2.5,2,6.9633672609836665e-06,1.0634822246885142e-05,3.671454985901476e-06,8.456526814608832e-06
38,1658,2.5,3,1.6397590145028309e-06,2.1101469886849673e-06,4.703879741821364e-07,1.397284936815794e-06
39,1658,2.5,4,1.7544427594776545e-05,2.3443248543862045e-05,5.898820949085499e-06,1.858421309130498e-05
40,1658,2.5,5,0.0001627210058078646,0.00019725738738274386,3.453638157487925e-05,8.81104584920315e-05
41,1658,2.5,6,4.980955713710995e-06,6.584340931861153e-06,1.603385218150158e-06,4.8447089063414105e-06
42,1658,2.5,7,2.0570886881830543e-05,2.7639479222474543e-05,7.068592340644e-06,1.1523989104374402e-05
43,1658,2.5,8,9.768929627346277e-07,1.0083563703363433e-06,3.146340760171565e-08,3.9396829988324006e-07
44,1658,2.5,9,1.4935754808249986e-05,1.6073852857213508e-05,1.1380980489635219e-06,1.3461617771588512e-05
45,1658,2.5,10,1.585005364599623e-06,2.9117655482922393e-06,1.3267601836926163e-06,1.4627001839079333e-06
46,1658,2.5,11,8.031347903566456e-07,8.051615457285662e-07,2.0267553719205273e-09,4.209620213213737e-07
47,1658,2.5,12,2.2698084423608207e-08,1.58052431728897e-09,-2.1117560106319238e-08,4.6971592302386316e-08
48,3454,2.5,1,9.790820556949785e-06,1.3445172955693383e-05,3.654352398743598e-06,4.292027089292632e-06
49,3454,2.5,2,6.9633672609836665e-06,9.665733574061899e-06,2.7023663130782326e-06,6.665507225913289e-06
50,3454,2.5,3,1.6397590145028309e-06,2.0839064601740507e-06,4.441474456712198e-07,1.2228259036982525e-06
51,3454,2.5,4,1.7544427594776545e-05,1.97292010351458e-05,2.184773440369254e-06,1.9807252376615715e-05
52,3454,2.5,5,0.0001627210058078646,0.00019907369658769738,3.635269077983277e-05,7.488251659711049e-05
53,3454,2.5,6,4.980955713710995e-06,5.1783202804512305e-06,1.9736456674023523e-07,3.2678379446391006e-06
54,3454,2.5,7,2.0570886881830543e-05,2.2866697122101928e-05,2.295810240271385e-06,9.532081134190122e-06
55,3454,2.5,8,9.768929627346277e-07,1.0168429050790983e-06,3.9949942344470656e-08,3.584775210953479e-07
56,3454,2.5,9,1.4935754808249986e-05,1.5619360149713946e-05,6.836053414639601e-07,1.1225832190155774e-05
57,3454,2.5,10,1.585005364599623e-06,1.9356164101614485e-06,3.5061104556182554e-07,1.9040689996940283e-06
58,3454,2.5,11,8.031347903566456e-07,8.605630665316585e-07,5.7428276175012834e-08,4.0712220885757223e-07
59,3454,2.5,12,2.2698084423608207e-08,1.4430722006120745e-08,-8.267362417487462e-09,7.013054163039716e-08
60,7071,2.5,1,9.790820556949785e-06,1.111739466244123e-05,1.3265741054914457e-06,7.250458127735389e-06
61,7071,2.5,2,6.9633672609836665e-06,9.632893141204888e-06,2.6695258802212216e-06,4.238916765427494e-06
62,7071,2.5,3,1.6397590145028309e-06,2.06669925048834e-06,4.269402359855091e-07,1.2041453173119495e-06
63,7071,2.5,4,1.7544427594776545e-05,2.2442490575377917e-05,4.898062980601372e-06,1.6266055546457523e-05
64,7071,2.5,5,0.0001627210058078646,0.0002002636107171182,3.75426049092536e-05,7.66945728051864e-05
65,7071,2.5,6,4.980955713710995e-06,5.100918667512883e-06,1.199629538018881e-07,3.217191355372285e-06
66,7071,2.5,7,2.0570886881830543e-05,2.5130738945695837e-05,4.559852063865294e-06,8.030527153564808e-06
67,7071,2.5,8,9.768929627346277e-07,1.0172971428339327e-06,4.040418009930507e-08,2.3693886966899983e-07
68,7071,2.5,9,1.4935754808249986e-05,1.5002595344315558e-05,6.68405360655718e-08,1.0371034131229548e-05
69,7071,2.5,10,1.585005364599623e-06,1.6394164856872136e-06,5.441112108759068e-08,1.835620315290934e-06
70,7071,2.5,11,8.031347903566456e-07,8.483799882618339e-07,4.5245197905188276e-08,4.904027372629175e-07
71,7071,2.5,12,2.2698084423608207e-08,1.581368078374863e-08,-6.8844036398595774e-09,9.531408375043998e-08
