,Train_size,RP,Site,True,Pred,Bias,Sigma
23,228,100000.0,4,1.9174936050796756,1.8158490682065394,-0.10164453687313624,0.5819901275854422
24,228,1000000.0,4,4.125729981998563,3.727372456581023,-0.39835752541754,1.0317843226351102
25,228,10000000.0,4,6.381637621635928,6.273474142712093,-0.10816347892383504,0.7203601800900454
26,228,100000000.0,4,7.106303485954495,7.003643488185363,-0.10265999776913226,0.7203601800900454
27,228,1000000000.0,4,7.767246450560196,7.07945374482567,-0.6877927057345268,0.7203601800900454
28,550,1000.0,1,0.0,0.0,0.0,0.0
29,550,10000.0,1,0.0,0.0,0.0,0.0
30,550,100000.0,1,0.935136269438345,0.9564112784537252,0.021275009015380153,0.6225228331270175
31,550,1000000.0,1,3.6790206118969158,3.5560670419043783,-0.12295356999253748,1.0497618415253216
32,550,10000000.0,1,7.191610864315678,6.825093910661717,-0.36651695365396186,1.1005502751375689
33,550,100000000.0,1,9.2129017221681,9.541387014623918,0.32848529245581837,0.8004002001000483
34,550,1000000000.0,1,10.56025115111922,10.316866738189809,-0.2433844129294105,0.8104052026013004
35,550,1000.0,2,0.0,0.3346834711458055,0.3346834711458055,0.2772090488185451
36,550,10000.0,2,2.3625700055125134,2.5696149407167397,0.2070449352042263,0.41553338180201393
37,550,100000.0,2,3.6976422985458473,3.9743927231566434,0.27675042461079613,0.46058603502090145
38,550,1000000.0,2,4.750009408662028,5.118039640465697,0.3680302318036688,0.7403701850925462
39,550,10000000.0,2,5.884901235129102,6.397213433344295,0.5123121982151932,0.7461196692420522
40,550,100000000.0,2,6.658851510462244,7.279066757800443,0.6202152473381988,0.7434125283922768
41,550,1000000000.0,2,7.6065282620943995,7.332769657314003,-0.2737586047803964,0.7403701850925462
42,550,1000.0,3,0.0,0.0,0.0,0.0
43,550,10000.0,3,0.3369153710234869,0.4054830347175728,0.0685676636940859,0.22436294333910806
44,550,100000.0,3,1.1357483244003712,1.0790400410723997,-0.05670828332797151,0.3757304982012606
45,550,1000000.0,3,2.459920202302472,2.7783779653070213,0.3184577630045493,0.580290145072536
46,550,10000000.0,3,4.3939462927390185,4.479983529505026,0.08603723676600783,0.6490628439616097
47,550,100000000.0,3,5.974077437641258,5.248978140303985,-0.7250992973372732,0.6423872138202471
48,550,1000000000.0,3,5.982100089937212,5.351495178994973,-0.6306049109422389,0.6403201600800399
49,550,1000.0,4,0.0,0.0,0.0,0.0
50,550,10000.0,4,0.5825024936169365,0.6303851964651116,0.047882702848175085,0.36176001555492876
51,550,100000.0,4,1.9174936050796756,2.148419341822662,0.23092573674298622,0.6706026276686634
52,550,1000000.0,4,4.125729981998563,4.446897075592733,0.32116709359416973,1.0338867276855188
53,550,10000000.0,4,6.381637621635928,6.895135842173073,0.5134982205371452,1.040520260130065
54,550,100000000.0,4,7.106303485954495,8.022121480883717,0.9158179949292222,1.3106553276638309
55,550,1000000000.0,4,7.767246450560196,8.4923882672735,0.725141816713303,1.3106553276638309
56,961,1000.0,1,0.0,0.0,0.0,0.0
57,961,10000.0,1,0.0,0.0,0.0,0.0
58,961,100000.0,1,0.935136269438345,0.9419079529127458,0.006771683474400714,0.5622431971058252
59,961,1000000.0,1,3.6790206118969158,3.8303607040490397,0.15134009215212396,0.7807487436451122
60,961,10000000.0,1,7.191610864315678,7.054485533762344,-0.1371253305533342,0.8804402201100547
61,961,100000000.0,1,9.2129017221681,9.721477059646428,0.5085753374783284,0.6303151575787904
62,961,1000000000.0,1,10.56025115111922,10.807989268686534,0.24773811756731412,0.6303151575787904
63,961,1000.0,2,0.0,0.3735914041671361,0.3735914041671361,0.2834951113834947
64,961,10000.0,2,2.3625700055125134,2.5176540207786693,0.1550840152661559,0.3209694623698951
65,961,100000.0,2,3.6976422985458473,3.964910769857635,0.2672684713117879,0.39250976830073636
66,961,1000000.0,2,4.750009408662028,4.934661793346513,0.18465238468448497,0.5294121926606516
67,961,10000000.0,2,5.884901235129102,5.720039220194583,-0.1648620149345188,0.460230115057529
68,961,100000000.0,2,6.658851510462244,6.634648702025987,-0.024202808436257328,0.460230115057529
69,961,1000000000.0,2,7.6065282620943995,6.772509638738105,-0.8340186233562941,0.47023511755877934
70,961,1000.0,3,0.0,0.0,0.0,0.0
71,961,10000.0,3,0.3369153710234869,0.41516043281709825,0.07824506179361135,0.2261887107033208
72,961,100000.0,3,1.1357483244003712,1.137959961912364,0.0022116375119927145,0.22108723405278807
73,961,1000000.0,3,2.459920202302472,2.6117099783428346,0.1517897760403626,0.43658174270354744
74,961,10000000.0,3,4.3939462927390185,4.213859651141781,-0.18008664159723775,0.47023511755877934
75,961,100000000.0,3,5.974077437641258,5.543863302942192,-0.43021413469906555,0.31015507753876914
76,961,1000000000.0,3,5.982100089937212,5.55189310947544,-0.4302069804617723,0.31015507753876914
77,961,1000.0,4,0.0,0.0,0.0,0.0
78,961,10000.0,4,0.5825024936169365,0.5961492730934235,0.013646779476486959,0.28148165290248917
79,961,100000.0,4,1.9174936050796756,2.1761147022858727,0.2586210972061971,0.6432931943192091
80,961,1000000.0,4,4.125729981998563,4.173925964498317,0.04819598249975421,0.7152936858483914
81,961,10000000.0,4,6.381637621635928,6.373270332233485,-0.008367289402443134,0.6703351675837919
82,961,100000000.0,4,7.106303485954495,7.4010702110553215,0.2947667251008266,0.6703351675837919
83,961,1000000000.0,4,7.767246450560196,7.58308679736642,-0.18415965319377658,0.9404702351175569
84,1773,1000.0,1,0.0,0.0,0.0,0.0
85,1773,10000.0,1,0.0,0.0,0.0,0.0
86,1773,100000.0,1,0.935136269438345,0.9033645303559954,-0.03177173908234965,0.5050370744492629
87,1773,1000000.0,1,3.6790206118969158,3.7791065274372047,0.1000859155402889,0.6803401700850422
88,1773,10000000.0,1,7.191610864315678,7.151623396184458,-0.039987468131220005,0.8833095901747985
89,1773,100000000.0,1,9.2129017221681,9.821828944076275,0.6089272219081749,0.4402201100550265
90,1773,1000000000.0,1,10.56025115111922,10.88802928869654,0.32777813757732055,0.4402201100550265
91,1773,1000.0,2,0.0,0.21151803047713072,0.21151803047713072,0.25714252905662427
92,1773,10000.0,2,2.3625700055125134,2.4971158986269013,0.13454589311438792,0.26025430972387653
93,1773,100000.0,2,3.6976422985458473,3.8833553811715764,0.18571308262572916,0.2977967440130427
94,1773,1000000.0,2,4.750009408662028,4.877097594171332,0.12708818550930356,0.3709662022214557
95,1773,10000000.0,2,5.884901235129102,5.841332813790464,-0.04356842133863825,0.42021010505252576
96,1773,100000000.0,2,6.658851510462244,6.643697008060072,-0.015154502402172199,0.430215107553777
97,1773,1000000000.0,2,7.6065282620943995,6.982786647291382,-0.6237416148030173,0.4302151075537761
98,1773,1000.0,3,0.0,0.0,0.0,0.0
99,1773,10000.0,3,0.3369153710234869,0.3898742411105201,0.052958870087033205,0.19085165126890874
100,1773,100000.0,3,1.1357483244003712,1.1203308794962377,-0.015417444904133548,0.2101626449015237
101,1773,1000000.0,3,2.459920202302472,2.6078895195251377,0.1479693172226657,0.271236168333683
102,1773,10000000.0,3,4.3939462927390185,4.336857689762616,-0.05708860297640239,0.4502251125562786
103,1773,100000000.0,3,5.974077437641258,5.253718230405924,-0.720359207235334,0.8704352176088044
104,1773,1000000000.0,3,5.982100089937212,5.261748036939172,-0.7203520529980407,0.8704352176088044
105,1773,1000.0,4,0.0,0.0,0.0,0.0
106,1773,10000.0,4,0.5825024936169365,0.5458109155301326,-0.0366915780868039,0.26056307585235683
107,1773,100000.0,4,1.9174936050796756,2.0062982633455175,0.08880465826584194,0.4630779459652956
108,1773,1000000.0,4,4.125729981998563,4.161026216659975,0.03529623466141185,0.6803401700850431
109,1773,10000000.0,4,6.381637621635928,6.489997779243096,0.10836015760716755,0.6803401700850422
110,1773,100000000.0,4,7.106303485954495,7.495856393647644,0.3895529076931492,0.6803401700850422
111,1773,1000000000.0,4,7.767246450560196,7.820828777601084,0.05358232704088728,0.800400200100051
112,3669,1000.0,1,0.0,0.0,0.0,0.0
113,3669,10000.0,1,0.0,0.0,0.0,0.0
114,3669,100000.0,1,0.935136269438345,0.9077333734941846,-0.027402895944160455,0.46023011505752875
115,3669,1000000.0,1,3.6790206118969158,3.8511714288383523,0.17215081694143652,0.580290145072536
116,3669,10000000.0,1,7.191610864315678,7.318249686817622,0.1266388225019437,0.6386025982689798
117,3669,100000000.0,1,9.2129017221681,9.641437039636424,0.42853531746832374,0.4102051025512754
118,3669,1000000000.0,1,10.56025115111922,11.377397003322375,0.817145852203156,0.4102051025512754
119,3669,1000.0,2,0.0,0.2926748590070903,0.2926748590070903,0.24917434200405691
120,3669,10000.0,2,2.3625700055125134,2.455616203669943,0.09304619815742976,0.20191124773875968
121,3669,100000.0,2,3.6976422985458473,3.817945133948425,0.12030283540257791,0.24998574606826063
122,3669,1000000.0,2,4.750009408662028,4.789980679219763,0.03997127055773486,0.33025568789694937
123,3669,10000000.0,2,5.884901235129102,5.936360404627647,0.051459169498544455,0.4102051025512754
124,3669,100000000.0,2,6.658851510462244,6.697312307964737,0.038460797502493094,0.4102051025512754
125,3669,1000000000.0,2,7.6065282620943995,6.992599572271482,-0.6139286898229175,0.42021010505252576
126,3669,1000.0,3,0.0,0.0,0.0,0.0
127,3669,10000.0,3,0.3369153710234869,0.3606209790315208,0.023705608008033896,0.16518224209020715
128,3669,100000.0,3,1.1357483244003712,1.145837583545421,0.010089259145049878,0.175408510629105
129,3669,1000000.0,3,2.459920202302472,2.632299404307854,0.17237920200538204,0.26009121542002855
130,3669,10000000.0,3,4.3939462927390185,4.397157664854161,0.0032113721151425523,0.2701350675337668
131,3669,100000000.0,3,5.974077437641258,5.484898953412172,-0.48917848422908605,0.35017508754377147
132,3669,1000000000.0,3,5.982100089937212,5.514413900720424,-0.4676861892167885,0.35017508754377147
133,3669,1000.0,4,0.0,0.0,0.0,0.0
134,3669,10000.0,4,0.5825024936169365,0.5501549035458009,-0.032347590071135635,0.24999090050600414
135,3669,100000.0,4,1.9174936050796756,2.0677728344768065,0.1502792293971309,0.42908131226759405
136,3669,1000000.0,4,4.125729981998563,4.344360953123597,0.21863097112503382,0.6029847945861357
137,3669,10000000.0,4,6.381637621635928,6.654079786239652,0.2724421646037243,0.6003001500750376
138,3669,100000000.0,4,7.106303485954495,7.485851391146394,0.37954790519189885,0.6103051525762879
139,3669,1000000000.0,4,7.767246450560196,7.760798762593581,-0.006447687966615767,0.7203601800900454
140,6941,1000.0,1,0.0,0.0,0.0,0.0
141,6941,10000.0,1,0.0,0.0,0.0,0.0
142,6941,100000.0,1,0.935136269438345,0.8999184906565336,-0.035217778781811426,0.43577645093069095
143,6941,1000000.0,1,3.6790206118969158,3.8590525615555924,0.18003194965867664,0.5909869074525771
144,6941,10000000.0,1,7.191610864315678,7.3203275116276165,0.1287166473119381,0.6599291739721673
