ID,P05,P16,P50,P84,P95,Pmean
E01267N3753E01646N3535-BS-M754_E01498N3715_D010_S022D50R090_A001972_S039,6.6547818291915e-09,1.32864342163176e-08,3.83176619092925e-08,1.2620436804932e-07,2.6203436551436587e-07,7.483262780984835e-08
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S337D50R090_A003524_S022,4.1196479118300006e-09,9.50529979896048e-09,3.25167619914e-08,1.0109962600918559e-07,2.256028005370499e-07,6.16164520463279e-08
E01470N3877E01631N3641-BS-M792_E01538N3782_D010_S022D30R270_A008541_S034,0.0,0.0,5.557899022434e-09,8.699949775883512e-07,2.5843017961529938e-06,5.312409921030382e-07
E01267N3753E01646N3535-BS-M732_E01502N3737_D208_S067D50R090_A001180_S030,6.155083244548912e-08,1.0518972609812512e-07,2.246248144230375e-07,5.662914076090139e-07,1.1000776796072204e-06,3.4648638095910046e-07
E01108N3882E01527N3690-BS-M809_E01417N3737_D010_S247D30R090_A012497_S042,0.0,0.0,1.24374188073225e-10,1.8027804935860195e-07,2.7399198216721195e-07,6.348384715689312e-08
E01267N3753E01646N3535-BS-M754_E01498N3715_D091_S022D50R090_A001972_S039,6.6547818291915e-09,1.32864342163176e-08,3.83176619092925e-08,1.2620436804932e-07,2.6203436551436587e-07,7.483262780984835e-08
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S202D50R090_A003524_S022,4.770930008199601e-09,1.08244414581408e-08,3.5277238721889e-08,1.1106063447004796e-07,2.170157055566399e-07,6.297318246452231e-08
E01267N3753E01646N3535-BS-M754_E01498N3715_D010_S067D30R090_A001972_S039,3.50485014856865e-09,8.06760576181816e-09,2.9358484159064e-08,9.80946105722448e-08,2.2855832842145887e-07,5.870215152487289e-08
E01470N3877E01631N3641-BS-M774_E01538N3782_D010_S022D30R270_A005608_S028,7.4214955732698015e-09,1.5377789978286122e-07,5.8486654276875e-07,1.5690599493002279e-06,3.1308975183419972e-06,9.676561475478274e-07
E01470N3877E01631N3641-BS-M732_E01534N3760_D115_S202D30R090_A002108_S017,2.30171721440805e-07,3.8998764771104e-07,8.6398263903955e-07,1.9560947366864395e-06,3.4660619629588993e-06,1.2058244484597681e-06
E01470N3877E01631N3641-BS-M754_E01603N3670_D010_S247D10R090_A003524_S022,4.1297604994296e-08,9.0293182540064e-08,2.2911920672564e-07,5.665280119336319e-07,1.09743209153424e-06,3.509616163570315e-07
E01470N3877E01631N3641-BS-M792_E01603N3670_D010_S337D70R270_A008541_S034,0.0,0.0,1.3214582512992e-09,2.048600509953536e-07,6.500024386004799e-07,1.2214561014948716e-07
E01267N3753E01646N3535-BS-M754_E01498N3715_D010_S202D30R090_A001972_S039,2.89292075686705e-09,7.999662191935681e-09,2.605717726322e-08,9.345520982623998e-08,2.302584343456229e-07,5.804468931563319e-08
E01470N3877E01631N3641-BS-M732_E01534N3760_D010_S337D50R090_A002108_S017,5.79693448525545e-09,1.142105795784368e-08,3.299815422478e-08,9.20477240333904e-08,1.8238416378558638e-07,5.6026716578890154e-08
E01470N3877E01631N3641-BS-M707_E01534N3760_D094_S292D50R090_A001194_S013,8.956401905704365e-09,1.9368500996534675e-08,5.471445049992e-08,1.43640932588581e-07,2.4837681212299155e-07,8.410720017034825e-08
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S022D50R090_A003524_S022,3.74680563741639e-09,1.0587428524476e-08,3.381860743308e-08,9.886436309826719e-08,2.0477166837443964e-07,5.9244099751569435e-08
E01470N3877E01631N3641-BS-M732_E01534N3760_D010_S157D50R090_A002108_S017,6.61007868579955e-09,1.243082087298008e-08,3.488164132575e-08,9.7816184734642e-08,1.8430861412430996e-07,5.777104577918215e-08
E01267N3753E01646N3535-BS-M754_E01498N3715_D091_S202D30R090_A001972_S039,2.89292075686705e-09,7.999662191935681e-09,2.605717726322e-08,9.345520982623998e-08,2.302584343456229e-07,5.804468931563319e-08
E01108N3882E01527N3690-BS-M707_E01506N3760_D094_S247D30R090_A001194_S013,6.425186794721803e-07,9.685562876904107e-07,2.2709640001620347e-06,4.519775061959692e-06,5.626466187513699e-06,2.661214998455085e-06
E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S022D50R090_A003139_S050,1.7522207642978777e-09,6.3892372376520485e-09,2.1761547160059e-08,8.463558607957796e-08,1.7894807929661243e-07,4.907850274360006e-08
E01267N3753E01646N3535-BS-M774_E01498N3715_D107_S202D50R090_A003139_S050,1.8457405404254775e-09,6.501010007449873e-09,2.29412614755915e-08,8.279500732190458e-08,2.1187127562631792e-07,5.309310625334906e-08
E01267N3753E01646N3535-BS-M774_E01498N3715_D107_S022D50R090_A003139_S050,1.7522207642978777e-09,6.3892372376520485e-09,2.1761547160059e-08,8.463558607957796e-08,1.7894807929661243e-07,4.907850274360006e-08
E01889N4173E02097N3847-BS-M754_E02014N3872_D010_S337D30R090_A003524_S022,2.9261032846932004e-07,4.84470460001196e-07,4.2462952842809995e-06,6.30803093549676e-06,7.3755533414069995e-06,3.636345701265706e-06
E01889N4173E02097N3847-BS-M774_E02014N3872_D010_S337D30R090_A005608_S028,0.0,0.0,3.78834483735405e-09,9.86458475207808e-07,5.596716432918599e-06,7.138786732858145e-07
E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S202D50R090_A003139_S050,1.8457405404254775e-09,6.501010007449873e-09,2.29412614755915e-08,8.279500732190458e-08,2.1187127562631792e-07,5.309310625334906e-08
E01470N3877E01631N3641-BS-M732_E01534N3760_D010_S247D50R090_A002108_S017,8.2995746934631e-09,1.591410286748472e-08,4.13415976439825e-08,1.0520750351920799e-07,1.9527100435793878e-07,6.404632473159575e-08
E01470N3877E01631N3641-BS-M732_E01534N3760_D010_S112D50R090_A002108_S017,5.92638693431885e-09,1.3585802743041761e-08,3.4588010804006004e-08,9.07598716738384e-08,1.7130147273555687e-07,5.50075727852543e-08
