scenario,max_flow_depth,inundated_pixels,max_eta,is_train,log_max_eta,square_max_eta
3_PS_2798/2431_E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02188N3566_S003,8.6504135,412676,4.6724257,TRUE,0.66954243,21.83156192
PS_2798/2734_E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01760N3738_S002,6.5868564,123262,3.1291368,TRUE,0.49542454,9.791497113
8_PS_2798/0177_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01766N3824_S005,7.688739,321132,4.7646437,TRUE,0.67803043,22.70182959
7_PS_2798/2388_E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02184N3552_S003,6.016469,173732,3.2350225,TRUE,0.5098773,10.46537058
7_PS_2798/1237_E01849N3766E02950N3220-PS-Mur_PYes_Var-M792_E02040N3662_S000,1.8458508,10516,0.60025513,TRUE,-0.22166412,0.360306221
3_PS_2798/0809_E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02368N3461_S005,10.952326,180627,3.4232895,TRUE,0.5344436,11.718911
5_PS_2798/0864_E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02335N3468_S003,5.2376475,35074,2.135438,TRUE,0.32948697,4.560095452
8_PS_2798/0664_E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02109N3622_S002,4.619394,48505,2.5627036,TRUE,0.40869838,6.567449741
9_PS_2798/0600_E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02202N3553_S003,6.2493258,164455,2.875452,TRUE,0.45870614,8.268224204
10_PS_2803/0887_E01548N3896E01854N3659-PS-Mur_PYes_Var-M861_E01755N3814_S005,7.195356,240029,4.2456293,TRUE,0.6279421,18.02536815
10_PS_2803/0041_E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01700N3744_S001,5.0215006,102933,3.543868,TRUE,0.5494775,12.5590004
5_PS_2798/2373_E02113N3823E02873N3483-PS-Str_PNo_Hom-M871_E02255N3645_S001,4.806466,64854,2.163802,TRUE,0.3352175,4.682039095
7_PS_2798/2457_E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02393N3468_S004,8.613115,147188,3.045705,TRUE,0.48368785,9.276318947
9_PS_2798/0666_E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02226N3538_S004,4.189328,24939,1.8548557,TRUE,0.26831013,3.440489668
10_PS_2803/1886_E01577N3897E01966N3571-PS-Str_PYes_Var-M837_E01750N3709_S000,6.623655,111269,2.3328874,TRUE,0.3678938,5.442363621
PS_2798/1703_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01780N3796_S004,7.0198345,184782,4.1110144,TRUE,0.613949,16.9004394
7_PS_2798/1186_E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02279N3514_S001,7.1549325,195160,3.536637,TRUE,0.5485905,12.50780127
5_PS_2798/2367_E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02351N3465_S001,9.292143,181548,3.645093,TRUE,0.5617086,13.28670298
