Index	Folder	PID	ID	Source_Region	Type	Scaling	Rupture Model	Rigidity	Mag	Slip Model	Lat	Long	max_flow_depth	inundated_pixels	max_eta	is_train	log_max_eta	square_max_eta
622	PS_2798	1188	E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02232N3550_S002	E02020N3739E02658N3366	PS	Str	PYes	Var	9.02	S002	35.5	22.32	6.311887	190479	3.5130804	TRUE	0.5456881	12.3417339
623	9_PS_2798	2157	E01548N3896E01854N3659-PS-Mur_PYes_Var-M792_E01791N3825_S000	E01548N3896E01854N3659	PS	Mur	PYes	Var	7.92	S000	38.25	17.91	2.4811716	13992	0.76972365	TRUE	-0.11366517	0.592474497
624	10_PS_2803	1541	E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02168N3560_S004	E02020N3739E02658N3366	PS	Str	PYes	Hom	8.71	S004	35.6	21.68	5.088518	37256	2.428067	TRUE	0.38526067	5.895509356
625	9_PS_2798	2778	E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02368N3461_S001	E02020N3739E02658N3366	PS	Str	PYes	Hom	9.02	S001	34.61	23.68	8.749033	117383	3.5376692	TRUE	0.5487172	12.51510337
626	8_PS_2798	664	E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02109N3622_S002	E02020N3739E02658N3366	PS	Mur	PYes	Var	8.71	S002	36.22	21.09	4.619394	48505	2.5627036	TRUE	0.40869838	6.567449741
627	10_PS_2803	2424	E02113N3823E02873N3483-PS-Mur_PYes_Hom-M792_E02364N3550_S000	E02113N3823E02873N3483	PS	Mur	PYes	Hom	7.92	S000	35.5	23.64	0.43097544	2069	0.13765669	TRUE	-0.86120266	0.018949364
628	8_PS_2798	50	E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02408N3442_S005	E02020N3739E02658N3366	PS	Mur	PYes	Hom	8.88	S005	34.42	24.08	6.985757	58820	2.7515388	TRUE	0.43957564	7.570965768
629	2_PS_2798	575	E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02183N3593_S003	E02020N3739E02658N3366	PS	Str	PYes	Var	8.61	S003	35.93	21.83	4.2273564	26969	1.7186388	TRUE	0.23518461	2.953719325
630	5_PS_2798	634	E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02301N3474_S003	E02020N3739E02658N3366	PS	Str	PYes	Var	8.95	S003	34.74	23.01	9.16408	166344	3.7217247	TRUE	0.5707443	13.85123474
631	9_PS_2798	1060	E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02165N3634_S003	E02020N3739E02658N3366	PS	Mur	PYes	Hom	8.61	S003	36.34	21.65	3.238011	17961	1.5339004	TRUE	0.18579715	2.352850437
