ID,mean_prob
E01267N3753E01646N3535-BS-M809_E01498N3715_D010_S067D50R090_A006995_S075,9.685469907493515e-07
E01267N3753E01646N3535-BS-M707_E01502N3737_D115_S247D30R090_A000668_S023,5.112703163451752e-06
E01267N3753E01646N3535-BS-M774_E01498N3715_D107_S067D50R090_A003139_S050,2.2270488949084714e-06
E01267N3753E01646N3535-BS-M732_E01498N3715_D010_S067D50R090_A001180_S030,3.28401093230258e-06
E01108N3882E01527N3690-BS-M754_E01506N3760_D010_S247D30R090_A003524_S022,7.916408343112657e-07
E01267N3753E01646N3535-BS-M707_E01527N3715_D062_S067D50R090_A000668_S023,5.3944995571671295e-06
E01267N3753E01646N3535-BS-M732_E01527N3715_D142_S067D50R090_A001180_S030,3.51757208726462e-06
E01267N3753E01646N3535-BS-M809_E01527N3715_D010_S067D50R090_A006995_S075,7.828486397060102e-07
E01267N3753E01646N3535-BS-M707_E01502N3737_D168_S247D30R090_A000668_S023,5.112703163451752e-06
E01108N3882E01527N3690-BS-M774_E01506N3760_D010_S247D30R090_A005608_S028,5.826410089264228e-07
E01108N3882E01527N3690-BS-M774_E01474N3737_D010_S247D30R090_A005608_S028,5.175883055952115e-07
E01470N3877E01631N3641-BS-M774_E01534N3760_D010_S202D30R090_A005608_S028,7.115146282454453e-07
E01108N3882E01527N3690-BS-M792_E01474N3737_D010_S247D30R090_A008541_S034,3.791841797896052e-07
E01108N3882E01527N3690-BS-M792_E01477N3760_D010_S247D30R090_A008541_S034,4.2479101035862077e-07
E01267N3753E01646N3535-BS-M754_E01502N3737_D010_S067D50R090_A001972_S039,3.6015256700228657e-07
E01267N3753E01646N3535-BS-M809_E01502N3737_D144_S247D30R090_A006995_S075,4.6129559973134096e-07
E01267N3753E01646N3535-BS-M754_E01502N3737_D091_S067D50R090_A001972_S039,3.6015256700228657e-07
E01267N3753E01646N3535-BS-M809_E01502N3737_D010_S247D30R090_A006995_S075,4.6129559973134096e-07
E01267N3753E01646N3535-BS-M680_E01527N3715_D010_S067D50R090_A000357_S016,5.335251439506507e-06
E01108N3882E01527N3690-BS-M732_E01506N3760_D010_S247D30R090_A002108_S017,1.2857061448945325e-06
E01267N3753E01646N3535-BS-M754_E01498N3715_D172_S067D50R090_A001972_S039,3.4099388198944863e-06
E01108N3882E01527N3690-BS-M774_E01477N3760_D010_S247D30R090_A005608_S028,5.797182920724726e-07
E01267N3753E01646N3535-BS-M754_E01502N3737_D172_S067D50R090_A001972_S039,3.6015256700228657e-07
E01470N3877E01631N3641-BS-M792_E01534N3760_D010_S202D30R090_A008541_S034,3.8703307428179423e-07
E01108N3882E01527N3690-BS-M792_E01506N3760_D010_S247D30R090_A008541_S034,4.2675995479225605e-07
E01470N3877E01631N3641-BS-M754_E01534N3760_D010_S202D30R090_A003524_S022,8.593631633160387e-07
E01267N3753E01646N3535-BS-M774_E01502N3737_D010_S067D50R090_A003139_S050,2.3564660596199519e-07
E01267N3753E01646N3535-BS-M774_E01502N3737_D107_S067D50R090_A003139_S050,2.3564660596199519e-07
E01108N3882E01527N3690-BS-M754_E01474N3737_D140_S247D30R090_A003524_S022,7.035430935363829e-07
E01267N3753E01646N3535-BS-M680_E01502N3737_D051_S247D30R090_A000357_S016,6.320906423054127e-06
E01267N3753E01646N3535-BS-M732_E01502N3737_D010_S067D50R090_A001180_S030,3.4648638095910046e-07
E01108N3882E01527N3690-BS-M792_E01445N3737_D010_S247D30R090_A008541_S034,3.355799572145944e-07
E01267N3753E01646N3535-BS-M732_E01502N3737_D076_S067D50R090_A001180_S030,3.4648638095910046e-07
E01108N3882E01527N3690-BS-M792_E01442N3715_D010_S247D30R090_A008541_S034,2.1299444539599127e-07
E01470N3877E01631N3641-BS-M754_E01534N3760_D140_S202D30R090_A003524_S022,8.593631633160387e-07
E01470N3877E01631N3641-BS-M732_E01534N3760_D010_S202D30R090_A002108_S017,1.2058244484597681e-06
E01108N3882E01527N3690-BS-M809_E01477N3760_D010_S247D30R090_A012497_S042,1.4839752456733803e-07
E01267N3753E01646N3535-BS-M754_E01498N3715_D091_S067D50R090_A001972_S039,3.4099388198944863e-06
E01108N3882E01527N3690-BS-M809_E01474N3737_D010_S247D30R090_A012497_S042,1.32400029321718e-07
E01108N3882E01527N3690-BS-M707_E01506N3760_D010_S247D30R090_A001194_S013,2.661214998455085e-06
E01267N3753E01646N3535-BS-M792_E01502N3737_D125_S067D50R090_A004781_S062,1.3278546902421335e-07
E01108N3882E01527N3690-BS-M754_E01474N3737_D010_S247D30R090_A003524_S022,7.035430935363829e-07
E01267N3753E01646N3535-BS-M792_E01502N3737_D010_S067D50R090_A004781_S062,1.3278546902421335e-07
E01267N3753E01646N3535-BS-M707_E01502N3737_D220_S247D30R090_A000668_S023,5.112703163451752e-06
