ID	max_flow_depth	inundated_pixels	max_eta	is_train	log_max_eta	square_max_eta	folder	pid	Source_Region	Mag	lon	lat	Location	LocationCount	DepCat	InuCat
7_PS_2798/1421_E01548N3896E01854N3659-PS-Str_PYes_Hom-M850_E01748N3747_S000	3.7838745	36408	2.0804172	True	0.31815043	4.328135726	7_PS_2798	1421	E01548N3896E01854N3659	8.5	17.48	37.47	37471748	15.0	3	3
4_PS_2798/0521_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01695N3801_S004	7.8459044	346115	4.8193107	True	0.68298495	23.22575562	4_PS_2798	0521	E01548N3896E01854N3659	8.61	16.95	38.01	38011695	14.0	5	5
PS_2798/1798_E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02417N3454_S003	7.010171	90804	3.079254	True	0.4884455	9.481805197	PS_2798	1798	E02020N3739E02658N3366	9.02	24.17	34.54	34542417	43.0	4	5
7_PS_2798/0026_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01710N3774_S005	7.2716613	202270	3.51855	True	0.5463637	12.3801941	7_PS_2798	0026	E01548N3896E01854N3659	8.61	17.1	37.74	37741710	24.0	4	5
3_PS_2798/2508_E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02426N3465_S002	12.550506	261985	4.524372	True	0.6555583	20.46994199	3_PS_2798	2508	E02020N3739E02658N3366	9.02	24.26	34.65	34652426	29.0	5	5
2_PS_2798/0706_E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02122N3652_S001	4.2557955	37929	1.9776504	True	0.29614952	3.911101105	2_PS_2798	0706	E02020N3739E02658N3366	8.71	21.22	36.52	36522122	43.0	3	3
5_PS_2798/2206_E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02206N3569_S003	5.905442	54770	2.564158	True	0.4089448	6.574906249	5_PS_2798	2206	E02020N3739E02658N3366	8.8	22.06	35.69	35692206	64.0	4	4
7_PS_2798/1530_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01723N3765_S002	6.1070776	215202	3.8091662	True	0.5808299	14.50974714	7_PS_2798	1530	E01548N3896E01854N3659	8.61	17.23	37.65	37651723	23.0	4	5
3_PS_2798/0027_E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02344N3478_S002	12.556609	205341	4.5031714	True	0.6535185	20.27855266	3_PS_2798	0027	E02020N3739E02658N3366	8.95	23.44	34.78	34782344	64.0	5	5
PS_2798/1686_E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01684N3791_S004	6.5035357	142669	3.1457376	True	0.4977225	9.895665048	PS_2798	1686	E01548N3896E01854N3659	8.61	16.84	37.91	37901684	12.0	4	5
4_PS_2798/1133_E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02337N3493_S002	11.043879	253986	4.3623533	True	0.63972086	19.03012631	4_PS_2798	1133	E02020N3739E02658N3366	8.95	23.37	34.93	34932337	73.0	5	5
3_PS_2798/2360_E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01670N3819_S002	6.329928	177973	3.4922302	True	0.54310286	12.19567177	3_PS_2798	2360	E01548N3896E01854N3659	8.61	16.7	38.19	38191670	19.0	4	5
5_PS_2798/1346_E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02351N3465_S003	12.627768	181831	4.164414	True	0.61955386	17.34234396	5_PS_2798	1346	E02020N3739E02658N3366	8.95	23.51	34.65	34652351	70.0	5	5
9_PS_2798/1683_E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01783N3758_S004	7.449171	199284	3.9259493	True	0.59394467	15.41307791	9_PS_2798	1683	E01548N3896E01854N3659	8.61	17.83	37.58	37581782	22.0	4	5
9_PS_2798/2724_E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01768N3805_S003	6.2498107	153041	3.5966759	True	0.5559013	12.93607753	9_PS_2798	2724	E01548N3896E01854N3659	8.61	17.68	38.05	38041768	21.0	4	5
10_PS_2803/0499_E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02441N3439_S001	13.19235	230587	4.688803	True	0.671062	21.98487357	10_PS_2803	0499	E02020N3739E02658N3366	9.02	24.41	34.39	34392441	42.0	5	5
2_PS_2798/0773_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01760N3738_S002	6.469363	181670	3.7892087	True	0.5785485	14.35810257	2_PS_2798	0773	E01548N3896E01854N3659	8.61	17.6	37.38	37381760	22.0	4	5
PS_2798/2678_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01734N3775_S001	7.730165	330934	4.5881557	True	0.66163814	21.05117273	PS_2798	2678	E01548N3896E01854N3659	8.61	17.34	37.75	37751734	19.0	5	5
3_PS_2798/2148_E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02253N3527_S001	5.074768	46026	2.3382769	True	0.36889592	5.467538861	3_PS_2798	2148	E02020N3739E02658N3366	8.8	22.53	35.27	35272253	77.0	4	3
8_PS_2798/1937_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01715N3697_S003	7.262506	219261	4.363469	True	0.6398319	19.03986171	8_PS_2798	1937	E01548N3896E01854N3659	8.61	17.15	36.97	36971714	23.0	4	5
7_PS_2798/0343_E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02441N3439_S005	12.949732	272907	4.885355	True	0.6888961	23.86669348	7_PS_2798	0343	E02020N3739E02658N3366	9.02	24.41	34.39	34392441	42.0	5	5
10_PS_2803/1250_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01725N3727_S003	7.1663756	215078	4.826811	True	0.68366027	23.29810443	10_PS_2803	1250	E01548N3896E01854N3659	8.61	17.25	37.27	37271725	22.0	4	5
3_PS_2798/2431_E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02188N3566_S003	8.6504135	412676	4.6724257	True	0.66954243	21.83156192	3_PS_2798	2431	E02020N3739E02658N3366	9.02	21.88	35.66	35652188	69.0	5	5
PS_2798/2734_E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01760N3738_S002	6.5868564	123262	3.1291368	True	0.49542454	9.791497113	PS_2798	2734	E01548N3896E01854N3659	8.61	17.6	37.38	37381760	22.0	4	5
8_PS_2798/0177_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01766N3824_S005	7.688739	321132	4.7646437	True	0.67803043	22.70182959	8_PS_2798	0177	E01548N3896E01854N3659	8.61	17.66	38.24	38241766	28.0	5	5
7_PS_2798/2388_E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02184N3552_S003	6.016469	173732	3.2350225	True	0.5098773	10.46537058	7_PS_2798	2388	E02020N3739E02658N3366	9.02	21.84	35.52	35522184	65.0	4	5
7_PS_2798/1237_E01849N3766E02950N3220-PS-Mur_PYes_Var-M792_E02040N3662_S000	1.8458508	10516	0.60025513	True	-0.22166412	0.360306221	7_PS_2798	1237	E01849N3766E02950N3220	7.92	20.4	36.62	36612039	14.0	2	2
3_PS_2798/0809_E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02368N3461_S005	10.952326	180627	3.4232895	True	0.5344436	11.718911	3_PS_2798	0809	E02020N3739E02658N3366	9.02	23.68	34.61	34612368	50.0	5	5
5_PS_2798/0864_E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02335N3468_S003	5.2376475	35074	2.135438	True	0.32948697	4.560095452	5_PS_2798	0864	E02020N3739E02658N3366	8.71	23.35	34.68	34682335	59.0	4	3
8_PS_2798/0664_E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02109N3622_S002	4.619394	48505	2.5627036	True	0.40869838	6.567449741	8_PS_2798	0664	E02020N3739E02658N3366	8.71	21.09	36.22	36222109	32.0	3	3
9_PS_2798/0600_E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02202N3553_S003	6.2493258	164455	2.875452	True	0.45870614	8.268224204	9_PS_2798	0600	E02020N3739E02658N3366	9.02	22.02	35.53	35532202	64.0	4	5
10_PS_2803/0887_E01548N3896E01854N3659-PS-Mur_PYes_Var-M861_E01755N3814_S005	7.195356	240029	4.2456293	True	0.6279421	18.02536815	10_PS_2803	0887	E01548N3896E01854N3659	8.61	17.55	38.14	38141755	29.0	4	5
10_PS_2803/0041_E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01700N3744_S001	5.0215006	102933	3.543868	True	0.5494775	12.5590004	10_PS_2803	0041	E01548N3896E01854N3659	8.61	17.0	37.44	37441700	19.0	4	5
5_PS_2798/2373_E02113N3823E02873N3483-PS-Str_PNo_Hom-M871_E02255N3645_S001	4.806466	64854	2.163802	True	0.3352175	4.682039095	5_PS_2798	2373	E02113N3823E02873N3483	8.71	22.55	36.45	36452255	32.0	3	4
7_PS_2798/2457_E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02393N3468_S004	8.613115	147188	3.045705	True	0.48368785	9.276318947	7_PS_2798	2457	E02020N3739E02658N3366	9.02	23.93	34.68	34682393	57.0	5	5
9_PS_2798/0666_E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02226N3538_S004	4.189328	24939	1.8548557	True	0.26831013	3.440489668	9_PS_2798	0666	E02020N3739E02658N3366	8.8	22.26	35.38	35382226	71.0	3	2
10_PS_2803/1886_E01577N3897E01966N3571-PS-Str_PYes_Var-M837_E01750N3709_S000	6.623655	111269	2.3328874	True	0.3678938	5.442363621	10_PS_2803	1886	E01577N3897E01966N3571	8.37	17.5	37.09	37091750	25.0	4	5
PS_2798/1703_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01780N3796_S004	7.0198345	184782	4.1110144	True	0.613949	16.9004394	PS_2798	1703	E01548N3896E01854N3659	8.61	17.8	37.96	37961780	22.0	4	5
7_PS_2798/1186_E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02279N3514_S001	7.1549325	195160	3.536637	True	0.5485905	12.50780127	7_PS_2798	1186	E02020N3739E02658N3366	9.02	22.79	35.14	35142279	64.0	4	5
5_PS_2798/2367_E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02351N3465_S001	9.292143	181548	3.645093	True	0.5617086	13.28670298	5_PS_2798	2367	E02020N3739E02658N3366	8.95	23.51	34.65	34652351	70.0	5	5
7_PS_2798/1074_E02020N3739E02658N3366-PS-Str_PYes_Var-M809_E02148N3497_S000	2.1561556	10239	0.746108	True	-0.12719831	0.556677148	7_PS_2798	1074	E02020N3739E02658N3366	8.09	21.48	34.97	34972148	14.0	3	2
10_PS_2803/0988_E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02425N3440_S002	3.5894105	28146	1.690849	True	0.22810481	2.858970341	10_PS_2803	0988	E02020N3739E02658N3366	8.8	24.25	34.4	34402425	48.0	3	3
2_PS_2798/1287_E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02335N3468_S003	9.11067	196490	3.3380017	True	0.52348655	11.14225535	2_PS_2798	1287	E02020N3739E02658N3366	9.02	23.35	34.68	34682335	59.0	5	5
2_PS_2798/0761_E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02243N3539_S005	5.774066	121870	2.0380876	True	0.30922285	4.153801065	2_PS_2798	0761	E02020N3739E02658N3366	8.95	22.43	35.39	35392243	42.0	4	5
10_PS_2803/1762_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01710N3774_S003	6.6265287	173883	3.1965	True	0.50467473	10.21761225	10_PS_2803	1762	E01548N3896E01854N3659	8.61	17.1	37.74	37741710	24.0	4	5
7_PS_2798/2190_E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02171N3544_S001	5.635331	57541	2.4945982	True	0.3970006	6.223020179	7_PS_2798	2190	E02020N3739E02658N3366	8.8	21.71	35.44	35442171	32.0	4	4
3_PS_2798/1945_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01725N3727_S001	6.8090277	255825	4.3179703	True	0.63527966	18.64486751	3_PS_2798	1945	E01548N3896E01854N3659	8.61	17.25	37.27	37271725	22.0	4	5
9_PS_2798/1229_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01670N3819_S002	7.134832	238992	3.979889	True	0.599871	15.83951645	9_PS_2798	1229	E01548N3896E01854N3659	8.61	16.7	38.19	38191670	19.0	4	5
10_PS_2803/1719_E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02128N3626_S003	5.1186085	121333	2.7106407	True	0.43307194	7.347573004	10_PS_2803	1719	E02020N3739E02658N3366	8.88	21.28	36.26	36262128	47.0	4	5
3_PS_2798/0243_E01577N3897E01966N3571-PS-Str_PYes_Var-M861_E01739N3699_S005	6.078731	173269	3.4391735	True	0.5364541	11.82791436	3_PS_2798	0243	E01577N3897E01966N3571	8.61	17.39	36.99	36991739	19.0	4	5
7_PS_2798/0930_E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02209N3537_S003	8.556004	121878	3.5069706	True	0.5449321	12.29884279	7_PS_2798	0930	E02020N3739E02658N3366	9.02	22.09	35.37	35362209	65.0	5	5
5_PS_2798/2233_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01715N3697_S002	7.4913383	251043	4.158155	True	0.61890066	17.290253	5_PS_2798	2233	E01548N3896E01854N3659	8.61	17.15	36.97	36971714	23.0	4	5
5_PS_2798/0228_E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02183N3593_S005	6.3742104	132220	2.5148077	True	0.40050477	6.324257768	5_PS_2798	0228	E02020N3739E02658N3366	9.02	21.83	35.93	35932183	60.0	4	5
3_PS_2798/1217_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01760N3738_S004	7.5330944	238105	3.4530158	True	0.5381986	11.92331812	3_PS_2798	1217	E01548N3896E01854N3659	8.61	17.6	37.38	37381760	22.0	5	5
