Unnamed: 0,mse,r2,g,l2n,true,pred,truemax,predmax,id,eve_id,max_off,wave_period,dominant_period,mean_prob,dzmax,dzmin,count,dmax,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id,max_off_bin,split,Mag
5231,0.1889559388763425,0.3688914882237739,0.2228264938446371,0.5564349997389976,17831.0,39585.0,8.95941162109375,9.684682846069336,BS_manning003/E01267N3753E01646N3535-BS-M774_E01523N3692_D010_S112D30R270_A003139_S050,E01267N3753E01646N3535-BS-M774_E01523N3692_D010_S112D30R270_A003139_S050,1.26,18,8.0,1.2634406238420526e-08,2.264,-0.275,17831,8.959,15.2345,36.9278,36921523,927.0,2.264,0.0,1.5919351860409862e-08,1.8674136321195144e-05,2045.0,"36.857,15.042","(1.0, 2.0]",test,7.7453
4009,0.1888448888843876,0.9266178578967296,0.0326404325995376,1.7928100726711986,83779.0,87920.0,18.4533748626709,13.415023803710938,BS_manning003/E01267N3753E01646N3535-BS-M809_E01547N3670_D010_S067D70R090_A006995_S075,E01267N3753E01646N3535-BS-M809_E01547N3670_D010_S067D70R090_A006995_S075,3.81,12,7.7,7.934042127130753e-10,0.695,0.388,83779,18.453,15.479,36.7029,36701547,617.0,0.695,0.0,3.022870050436818e-09,1.8674136321195144e-05,617.0,"36.557,15.342","(3.0, 99.0]",test,8.0933
9961,0.1879557706012211,0.7270820321479541,0.1555258565594723,0.8614968664823153,33421.0,35577.0,12.927820205688477,7.373511791229248,BS_manning003/E01470N3877E01631N3641-BS-M809_E01538N3782_D010_S112D70R090_A012497_S042,E01470N3877E01631N3641-BS-M809_E01538N3782_D010_S112D70R090_A012497_S042,3.74,13,8.6,1.9488294621691896e-09,-0.08,-0.123,33421,12.928,15.3821,37.8271,37821538,393.0,0.123,0.0,7.288622188512769e-09,1.8674136321195144e-05,439.0,"37.757,15.342","(3.0, 99.0]",test,8.0933
11040,0.187290601482426,0.8943826238890799,0.0544815297684093,1.462544896558441,61658.0,57794.0,17.728717803955078,12.241601943969728,BS_manning003/E01470N3877E01631N3641-BS-M809_E01579N3692_D010_S112D90R270_A012497_S042,E01470N3877E01631N3641-BS-M809_E01579N3692_D010_S112D90R270_A012497_S042,1.53,10,7.5,5.583515126155803e-10,2.073,1.522,61658,17.729,15.797,36.9278,36921579,475.0,2.073,0.0,8.542778143018376e-10,1.8674136321195144e-05,1050.0,"36.857,15.642","(1.0, 2.0]",test,8.0933
4181,0.1864544364936104,0.9187671568496836,0.0408527325372869,1.6750249467685492,78338.0,78538.0,17.762706756591797,11.942404747009276,BS_manning003/E01267N3753E01646N3535-BS-M809_E01547N3670_D010_S067D50R090_A006995_S075,E01267N3753E01646N3535-BS-M809_E01547N3670_D010_S067D50R090_A006995_S075,3.18,12,8.6,3.0829677282796246e-09,0.419,0.214,78338,17.763,15.479,36.7029,36701547,617.0,0.419,0.0,9.803837375929209e-09,1.8674136321195144e-05,617.0,"36.557,15.342","(3.0, 99.0]",test,8.0933
2087,0.1863343119814641,0.9371834370901188,0.0277187774517621,1.927075981206499,87855.0,88507.0,19.38313674926757,16.31781768798828,BS_manning003/E01267N3753E01646N3535-BS-M792_E01495N3692_D010_S112D70R090_A004781_S062,E01267N3753E01646N3535-BS-M792_E01495N3692_D010_S112D70R090_A004781_S062,1.93,12,7.7,2.868558571403699e-09,1.27,0.642,87855,19.383,14.9532,36.9278,36921495,334.0,1.27,0.0,5.536318042809139e-09,1.8674136321195144e-05,990.0,"36.857,14.742","(1.0, 2.0]",test,7.928
10795,0.1855618781407838,0.907554607099706,0.036596959180807,1.5679316019552008,67344.0,79564.0,14.789155960083008,11.89346981048584,BS_manning003/E01267N3753E01646N3535-BS-M774_E01495N3692_D010_S247D50R270_A003139_S050,E01267N3753E01646N3535-BS-M774_E01495N3692_D010_S247D50R270_A003139_S050,2.58,12,8.0,1.6534390478439572e-08,2.699,1.185,67344,14.789,14.9532,36.9278,36921495,334.0,2.699,0.0,4.265872743437409e-08,1.8674136321195144e-05,990.0,"36.857,14.742","(2.0, 3.0]",test,7.7453
10005,0.1854655905097781,0.9167661519885194,0.0338599636473965,1.653497144071334,69003.0,98215.0,15.241121292114258,13.245110511779783,BS_4-8_manning003/E01108N3882E01527N3690-BS-M809_E01506N3760_D010_S157D90R270_A012497_S042,E01108N3882E01527N3690-BS-M809_E01506N3760_D010_S157D90R270_A012497_S042,3.37,12,7.7,1.8960732465944623e-10,1.998,1.426,69003,15.241,15.0608,37.6022,37601506,255.0,1.998,0.0,6.389766841023337e-10,1.8674136321195144e-05,255.0,"37.457,15.042","(3.0, 99.0]",test,8.0933
4667,0.184815951917674,0.9016254764979772,0.0460726869887599,1.4948160458967306,56458.0,56150.0,13.44052505493164,11.888269424438477,BS_manning003/E01267N3753E01646N3535-BS-M809_E01575N3670_D010_S157D30R090_A006995_S075,E01267N3753E01646N3535-BS-M809_E01575N3670_D010_S157D30R090_A006995_S075,4.0,13,7.7,1.567461875650737e-09,0.614,0.43,56458,13.441,15.7595,36.7029,36701575,602.0,0.614,0.0,6.269847502602948e-09,1.8674136321195144e-05,602.0,"36.557,15.642","(3.0, 99.0]",test,8.0933
4597,0.1839421367188569,0.844903446698831,0.0763776567701511,1.1522363317551718,47301.0,51643.0,12.83016300201416,10.974739074707031,BS_manning003/E01267N3753E01646N3535-BS-M809_E01568N3625_D010_S202D30R090_A006995_S075,E01267N3753E01646N3535-BS-M809_E01568N3625_D010_S202D30R090_A006995_S075,2.89,14,7.7,8.436840918449434e-10,0.117,0.043,47301,12.83,15.6856,36.2533,36251568,221.0,0.117,0.0,2.4382470254318873e-09,1.8674136321195144e-05,502.0,"35.957,15.642","(2.0, 3.0]",test,8.0933
