,eid,eve_id,id,mean_prob
43,43,E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02230N3611_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02230N3611_S000,3.365917730779072e-06
44,44,E01548N3896E01854N3659-PS-Mur_PYes_Hom-M754_E01661N3771_S000,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M754_E01661N3771_S000,6.75453915602872e-07
45,45,E02113N3823E02873N3483-PS-Str_PNo_Var-M837_E02287N3633_S000,PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M837_E02287N3633_S000,8.051575854649505e-07
46,46,E02113N3823E02873N3483-PS-Mur_PNo_Hom-M861_E02350N3576_S001,PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Hom-M861_E02350N3576_S001,2.1492740295675082e-07
47,47,E01964N3926E02184N3685-PS-Mur_PYes_Hom-M774_E02066N3753_S000,PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Hom-M774_E02066N3753_S000,1.4708275285587673e-05
48,48,E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02274N3465_S001,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02274N3465_S001,1.896632471529476e-08
49,49,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02218N3525_S001,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02218N3525_S001,1.8862748123471345e-08
50,50,E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02275N3583_S003,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02275N3583_S003,1.828166781608177e-08
51,51,E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02159N3533_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02159N3533_S000,1.415920190559312e-07
52,52,E01548N3896E01854N3659-PS-Str_PYes_Hom-M824_E01804N3797_S000,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M824_E01804N3797_S000,2.9588914515760132e-08
53,53,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02184N3552_S004,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02184N3552_S004,2.794013836801066e-08
54,54,E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01793N3787_S002,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01793N3787_S002,2.563378518919695e-09
55,55,E01548N3896E01854N3659-PS-Mur_PYes_Hom-M824_E01644N3837_S000,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M824_E01644N3837_S000,6.469887829836834e-08
56,56,E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02226N3538_S001,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02226N3538_S001,2.8747121160712506e-08
57,57,E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02515N3431_S005,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02515N3431_S005,5.679695014228743e-09
58,58,E01548N3896E01854N3659-PS-Mur_PYes_Var-M809_E01770N3767_S000,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M809_E01770N3767_S000,9.723758611013488e-08
59,59,E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02218N3525_S004,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02218N3525_S004,6.873406559406669e-09
60,60,E02113N3823E02873N3483-PS-Str_PNo_Hom-M824_E02510N3490_S000,PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M824_E02510N3490_S000,6.646073817342086e-06
61,61,E01548N3896E01854N3659-PS-Str_PYes_Hom-M754_E01682N3667_S000,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M754_E01682N3667_S000,2.030162223456432e-07
62,62,E02020N3739E02658N3366-PS-Str_PYes_Hom-M837_E02250N3552_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M837_E02250N3552_S000,1.3493981556941878e-07
63,63,E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02328N3482_S001,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02328N3482_S001,2.809040752371548e-08
64,64,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02155N3547_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02155N3547_S000,8.359462452540993e-08
65,65,E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01673N3781_S005,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01673N3781_S005,2.6988438772908037e-09
66,66,E02113N3823E02873N3483-PS-Str_PYes_Hom-M792_E02187N3749_S000,PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Hom-M792_E02187N3749_S000,1.2305581387467449e-05
67,67,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02144N3668_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02144N3668_S000,2.1768590349572497e-07
68,68,E01964N3926E02184N3685-PS-Mur_PYes_Hom-M809_E02053N3710_S000,PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Hom-M809_E02053N3710_S000,3.246853328598778e-06
69,69,E01548N3896E01854N3659-PS-Mur_PYes_Hom-M792_E01646N3818_S000,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M792_E01646N3818_S000,1.5677478481452318e-06
70,70,E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02351N3465_S004,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02351N3465_S004,3.062162207326369e-08
71,71,E02113N3823E02873N3483-PS-Str_PNo_Hom-M861_E02226N3659_S005,PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M861_E02226N3659_S005,2.155781228084532e-07
72,72,E01849N3766E02950N3220-PS-Str_PYes_Var-M871_E02072N3658_S002,PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M871_E02072N3658_S002,1.3139693033169596e-07
73,73,E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02337N3493_S001,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02337N3493_S001,3.108221934189017e-08
74,74,E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02106N3725_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02106N3725_S000,4.868818178550847e-07
75,75,E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02242N3492_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02242N3492_S000,8.26660686048534e-08
76,76,E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02375N3448_S001,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02375N3448_S001,1.3378305565241161e-08
77,77,E01548N3896E01854N3659-PS-Mur_PYes_Var-M837_E01746N3766_S000,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M837_E01746N3766_S000,2.562017312641401e-08
