eid,s0
172,1.4235750691917714e-07
173,2.8177874587683164e-08
174,6.346360478254432e-06
175,1.2990130052104874e-07
176,1.3365544930119277e-08
177,9.82597303982343e-08
178,2.5748694285516416e-08
179,1.9554525582552804e-07
180,3.226009589549108e-09
181,1.4146058632453732e-08
182,7.892941365877697e-08
183,3.382530552238882e-09
184,9.080650812753213e-08
185,2.5818878605631028e-08
186,1.064568656528207e-05
187,3.4157407195992582e-09
188,2.128768174420897e-07
189,7.185748531118012e-09
190,4.306476576277226e-07
191,2.8717968906933528e-08
192,1.857596782705857e-08
193,1.8934678965890737e-06
194,1.368866644937069e-07
195,2.0338908817329783e-08
196,2.7584204455782903e-08
197,2.953284854979865e-05
198,2.236455852654173e-05
199,6.917764918670318e-09
200,3.166376830183912e-08
201,3.286131518585991e-08
202,2.1162328609939762e-07
203,4.607498046756065e-07
204,6.792362318066326e-09
205,3.991851795761465e-06
206,6.279080087900997e-07
207,1.966098045692419e-08
208,2.156392769635746e-07
209,2.491999967529701e-08
210,7.991977419225064e-07
211,8.675444526180684e-08
212,3.0932942658588675e-08
213,1.1147512678800097e-06
214,4.991621495154812e-07
215,2.006708169285365e-08
216,2.8223884528983452e-08
217,2.988051520810412e-09
218,1.6847355860870465e-07
219,1.9301500263609328e-08
220,8.004282462773706e-07
221,2.6886837036539976e-07
222,1.367344238952016e-07
223,1.700551162096121e-07
224,1.171803846916142e-05
225,1.66841719765322e-06
226,2.215439336352601e-08
227,4.671009202657274e-06
228,8.417809867864069e-08
229,1.7333736964290233e-08
230,1.3054510218620072e-07
231,1.2809394432806694e-08
232,2.5305436086004983e-08
233,3.74194488941856e-07
234,2.064593479963636e-08
235,1.2948263322446637e-08
236,1.8216552674221529e-07
237,1.512084234483472e-07
238,3.252303024505335e-06
239,1.2503239871726344e-06
240,2.0495825942673764e-08
241,8.86326377880223e-07
242,1.9980704975289528e-08
243,8.53326707725526e-08
244,8.038066391384189e-07
245,1.6814629826716785e-07
246,3.223121748909076e-09
247,2.022257184127344e-08
248,2.199842279551755e-07
249,1.453651940200034e-07
250,1.4979089656277458e-05
251,2.7521007925327257e-08
252,4.047380257307693e-06
253,2.7856130775899448e-08
254,3.226009589549108e-09
255,1.5266482212239696e-07
256,1.8460911662628984e-06
257,2.008149155650607e-07
258,1.0614040568994442e-06
259,7.75131289110678e-08
260,2.0239935023677076e-08
261,3.0997884711043224e-08
262,6.540126924277583e-07
263,2.8942586221504334e-08
264,3.1567717186477984e-08
265,6.279080087900997e-07
