eid,s0
641,6.685755990667059e-06
642,3.941297134371249e-07
643,7.799009320084345e-09
644,3.0312342811946054e-08
645,9.846185086969136e-09
646,8.305027861480832e-07
647,1.6810837054910018e-08
648,1.3493981556941878e-07
649,4.355368594153724e-07
650,3.1495588242418315e-08
651,9.415484535493189e-08
652,9.22444490073019e-09
653,5.684071400983408e-07
654,1.3604168445883924e-07
655,1.9228779750620503e-08
656,1.9084586526312497e-08
657,2.8017389474307845e-08
658,9.344539584593805e-09
659,7.927624513884768e-08
660,1.3511863638142774e-08
661,3.776584716407135e-06
662,1.6063814528910376e-05
663,1.640167955887585e-07
664,5.616834750700359e-09
665,3.921562934116017e-07
666,1.7068113680793111e-06
667,3.277124368877689e-09
668,3.0775162619626374e-08
669,5.633195641207745e-09
670,3.034419462182564e-08
671,1.9660786695877173e-07
672,1.5801147086329744e-07
673,1.31062588692857e-06
674,1.388181195550117e-06
675,1.0556745299820642e-08
676,2.662925650927031e-07
677,1.9629044633503903e-08
678,2.1177176587789985e-07
679,1.378324655609012e-08
680,2.610970269729368e-06
681,2.031573464686958e-08
682,3.048979334444496e-08
683,2.7369061019570027e-05
684,1.8828795502986425e-08
685,2.839253214011544e-08
686,1.9876454534789853e-08
687,3.0553648106932983e-08
688,2.6397108732125715e-09
689,1.9422540345648242e-08
690,2.1625993448790882e-07
691,2.7648948609764945e-08
692,4.048776072832853e-06
693,2.1116388163126625e-07
694,2.0642888987989552e-08
695,2.1222378050038226e-07
696,1.1967654682853068e-05
697,3.065408487150272e-06
698,1.3746659839087318e-06
699,8.766613862184529e-08
700,3.562182733423813e-07
701,3.149807651132024e-08
702,2.782287793278576e-07
703,4.035002779912096e-06
704,1.3497359040376438e-08
705,8.212143585767029e-08
706,7.923968137610855e-07
707,5.621355523077399e-09
708,2.156392769635746e-07
709,2.4385123253201265e-08
710,9.415484535493189e-08
711,2.3047920403711136e-08
712,2.775379071390636e-08
713,5.921338447225213e-08
714,7.959052040383472e-09
715,2.188557698698808e-07
716,4.317164398928428e-06
717,2.686855512406676e-06
718,6.946364846954914e-09
719,3.0010854231599226e-08
720,7.020756588145027e-09
721,4.0207506233863154e-07
722,1.7016632369303825e-07
723,7.379395721306702e-07
724,1.6814629826716785e-07
725,5.9365514658605863e-08
726,2.0245863338826352e-08
727,3.73622817519772e-07
728,2.0746470328752588e-08
729,2.2068073594134001e-07
730,2.0174779091982225e-08
731,7.057669740055861e-09
732,4.13722157396301e-07
733,2.0147964540819692e-08
734,7.1075987867433845e-09
735,1.203446089534058e-05
736,1.0312121784330156e-05
737,4.00922426069481e-06
738,1.9082799634518226e-08
739,3.817273024350328e-07
740,3.724054583873874e-07
741,6.759886832571417e-09
742,1.409425060238069e-07
743,2.7802888931330197e-08
744,1.3381304104998072e-08
745,1.5161418713459193e-07
746,7.93145924684303e-07
747,3.259176941377359e-08
748,2.6397108732125715e-09
749,6.939057234300338e-06
750,2.8747121160712506e-08
751,1.404517267677787e-07
752,3.1495588242418315e-08
753,5.349959654094006e-08
754,2.8122863124311772e-08
755,1.8570681720682602e-07
756,4.629830243012941e-07
757,3.0309062308056423e-08
758,3.085137421174432e-08
759,6.690054175173869e-07
760,3.3092589373913564e-08
761,1.982066454398798e-06
762,2.8264360399384276e-08
763,6.787000147969571e-08
764,3.103853930475725e-09
765,1.687121772540936e-07
766,7.0229902089645554e-09
767,4.047380257307693e-06
768,2.0350973678778339e-07
769,2.695503462555125e-08
770,1.0346346787496342e-05
771,9.042728973109845e-08
772,7.043163869651727e-09
773,3.4163542225885585e-06
774,7.071917583510934e-09
775,2.0471939876065362e-08
776,1.0556745299820642e-08
777,1.4198693839983028e-07
778,3.2717123925703565e-08
779,2.0146190331520217e-08
780,3.0288227240379813e-08
781,6.225240305284017e-07
782,6.653494449977551e-06
783,2.6085434721280637e-08
784,1.1070900665096393e-08
785,6.137975782724557e-08
786,2.2666107510957832e-08
787,1.9160268822400005e-08
788,3.17137161267938e-07
789,2.667177928618245e-05
790,1.1271734129563924e-07
791,1.9084586526312497e-08
792,2.9968235833961248e-05
793,1.3172238241438635e-08
794,1.8423079546904227e-08
795,1.806462043460417e-08
796,1.991305975350688e-08
797,3.259176941377359e-08
798,2.019237011280949e-07
799,1.688642100489366e-07
800,3.236532710425249e-08
801,1.87174751545776e-08
802,3.0133539259668014e-08
803,5.6452510342131886e-09
804,5.6099038435976054e-08
805,9.927833594606545e-08
806,1.9833703778147915e-08
807,3.3449350110557734e-08
808,1.3365544930119277e-08
809,7.337232779259804e-08
810,2.049643374036822e-07
811,3.12539506217288e-05
812,7.902725316745727e-09
813,7.337232779259804e-08
814,7.031359633116643e-09
815,1.328808588243946e-08
816,3.4373450719653045e-07
817,2.5305436086004983e-08
818,2.024545269397736e-08
819,7.007127536611036e-09
820,8.27516071599239e-08
821,3.04523076548306e-09
822,2.6208228634708047e-08
823,7.810196398939186e-08
824,1.328808588243946e-08
825,3.221616834787007e-06
826,2.159458729986379e-07
827,3.4531437264108364e-06
828,7.061846051359872e-09
829,1.999682052990987e-07
830,1.508256727930517e-07
831,1.7016632369303825e-07
832,1.8560348740025423e-08
833,1.8621626452192482e-08
834,1.328808588243946e-08
835,1.2099276854580996e-05
836,2.850915655947517e-08
837,2.1534875198042941e-07
838,1.6338693651569718e-05
839,6.989237301764649e-07
840,1.7852325068904097e-07
841,1.893669425774353e-08
842,1.824811274167812e-08
843,1.090899233534739e-07
844,2.544454840651745e-08
845,2.8405784504085232e-08
846,2.7835128574738184e-08
847,2.692127940542053e-09
848,1.9787647190684284e-08
849,1.3487834664712692e-08
850,3.027332199746547e-08
851,2.8164968792246132e-08
852,1.60371498202567e-05
853,9.441844124359793e-08
854,2.0143356993709412e-08
855,1.3511863638142774e-08
856,2.874765046448221e-08
857,4.266503691684895e-08
858,4.588621194770914e-06
859,1.5740104263058036e-07
860,9.2306998321804e-09
861,1.364693856127457e-07
862,2.7648948609764945e-08
863,2.0236830548483916e-08
864,1.3737924364057098e-08
865,3.991851795761465e-06
866,1.110822594930293e-06
867,3.027332199746547e-08
868,3.7155500777340186e-08
869,5.253376305139889e-08
870,7.769128584951444e-08
871,7.193020837360449e-07
872,3.975065374601404e-07
873,1.3505668430181633e-05
874,6.103374956073363e-08
875,6.79772103384856e-09
876,6.376189250459563e-07
877,1.8557623516161905e-07
878,2.3818606308477485e-08
879,2.8223884528983452e-08
880,6.958142837077325e-08
881,0.0001401065343258
882,2.5242569369005295e-07
883,1.4694503581831254e-07
884,5.3821262974538994e-08
885,2.9647455512692086e-08
886,1.835996298967274e-08
887,1.06687544737656e-05
888,4.754204090189788e-08
889,1.6627333975967353e-05
890,2.0156152240786444e-08
891,1.31528057339458e-08
892,2.031268672059523e-07
893,3.223121748909076e-09
894,1.9129384391398175e-07
895,1.0668992046220732e-05
896,2.765348031463186e-09
897,2.024545269397736e-08
898,7.164569315959689e-08
899,9.694570201154353e-08
900,3.3034918727926375e-08
901,1.9493957138869937e-07
902,7.082595776823504e-09
903,3.732953781837573e-08
904,2.0765912156395e-08
905,3.0936016829895934e-08
906,3.379080864239669e-06
907,7.487530142236376e-08
908,4.557406893980288e-07
909,5.897969028955595e-08
910,8.975501941848748e-08
911,7.154735753028353e-09
912,1.701779391981565e-07
913,6.333728427051493e-08
914,1.705624666897686e-05
915,4.014078463823599e-07
916,1.453398995695667e-07
917,3.168041906674327e-08
918,1.4727886563490042e-07
919,1.46591209374929e-07
920,2.7435621878534287e-09
921,4.149969455615015e-07
922,4.972713043954258e-07
923,2.6023898093122772e-08
924,5.423587687587692e-07
925,3.0312342811946054e-08
926,1.3519242309791845e-07
927,1.9343594603009343e-08
928,2.935266739032229e-08
929,8.90272375392774e-08
930,5.754610670762569e-09
931,2.8299256394004072e-08
932,7.110872996496202e-09
933,7.087354969959528e-09
934,7.02543132932444e-06
935,7.025100319134763e-09
936,3.714507532392726e-08
937,9.882410477808636e-09
938,3.03202652938846e-07
939,8.615283764987825e-08
940,1.8791678903172295e-07
941,2.765348031463186e-09
942,9.107745523604604e-08
943,1.9475169550167933e-07
944,3.1211256493022035e-08
945,7.900803424027471e-07
946,4.064805367989503e-06
947,1.3355322953108726e-07
948,7.241760635223368e-07
949,3.3703580687968445e-08
950,1.3172238241438635e-08
951,1.4430139850468848e-06
952,1.3432334880588877e-08
953,3.072596525713054e-08
954,2.9942457690932055e-08
955,9.968755417799338e-08
956,3.1343919990356325e-08
957,2.9942457690932055e-08
958,2.9678745790627963e-08
959,1.7049267499422876e-05
960,1.7333736964290233e-08
961,1.3423089598795695e-08
962,1.3516740347814793e-08
963,3.7368612270623163e-07
964,4.317164398928428e-06
965,2.8038472454613297e-08
966,5.716722292745455e-09
967,2.8405784504085232e-08
968,1.647698826034664e-07
969,2.0174779091982225e-08
970,2.547736297819217e-07
971,1.323744120208027e-07
972,2.152528263640074e-07
973,5.441371027468639e-08
974,3.3498075697628347e-08
975,3.197820531591985e-08
976,3.002666554946808e-08
977,1.064568656528207e-05
978,5.615565892297344e-08
979,2.3617380692759281e-07
980,2.0368041416856082e-08
981,3.537596107113811e-06
982,3.09739080970142e-08
983,3.382530552238882e-09
984,1.4521011864510177e-05
985,1.775999510693986e-06
986,1.1330270402011934e-05
987,2.1453715062239213e-07
988,2.7867703122037112e-08
989,1.3729362722573188e-08
990,3.786394699313946e-07
991,2.2666107510957832e-08
992,6.535458820260748e-08
993,7.010782140259485e-06
994,4.801996030635211e-08
995,2.194055420757224e-08
996,1.9084586526312497e-08
997,1.06687544737656e-05
998,1.3829329779612045e-08
999,1.688642100489366e-07
1000,1.2108800778423052e-08
1001,2.0040045170000443e-08
1002,1.3705884794177942e-08
1003,2.0498770294350428e-08
1004,4.613487071060867e-07
1005,3.0885483750835522e-09
1006,4.831918625894627e-06
1007,1.2823574759910984e-07
1008,1.8397864958253207e-06
1009,2.0557578259676962e-07
1010,3.2176348516930142e-09
1011,3.2298639529834386e-08
1012,1.103258581599138e-07
1013,2.809040752371548e-08
1014,2.020207164094368e-07
1015,1.8791678903172295e-07
1016,3.6127601451246446e-08
1017,2.1882772851318965e-07
1018,9.536261155217493e-08
1019,2.351911081800511e-06
1020,7.484356456600024e-06
1021,1.185133204132794e-06
1022,1.9830351966262343e-08
1023,2.8092384012663312e-08
1024,1.778543306445392e-07
1025,2.84151094198299e-08
1026,2.0239935023677076e-08
1027,1.998530302453292e-08
1028,3.6772886637086485e-08
1029,3.342314569313323e-08
1030,3.108221934189017e-08
1031,3.12539506217288e-05
1032,1.6950696291944665e-07
1033,4.5751168468487494e-07
1034,3.433308484158768e-07
