eid,p84
216,7.153822432559047e-08
217,2.211372768e-09
218,3.103031863328458e-07
219,4.77394788e-08
220,2.26224457863746e-06
221,3.827605128207276e-07
222,3.3623188405824e-07
223,5.9559467999999465e-08
224,1.9731813970805683e-05
225,2.67995265022136e-06
226,5.060682464670624e-08
227,7.52937500002409e-06
228,1.1735665123305299e-07
229,1.95340206185653e-08
230,1.628889290788866e-07
231,1.29944703615232e-08
232,3.218408364929852e-08
233,9.35444223778919e-07
234,5.27133096e-08
235,2.1040815185354165e-09
236,1.934462569832074e-07
237,2.392347384343133e-07
238,6.022031178233048e-06
239,2.759772823713776e-06
240,5.10398712e-08
241,1.4686754128936994e-06
242,4.9738308e-08
243,1.6450299174883342e-07
244,2.27897715687996e-06
245,5.8372939999999474e-08
246,2.5142241695999992e-09
247,5.01024358e-08
248,3.317771794873651e-07
249,2.1523242099343332e-07
250,3.017993249076595e-05
251,3.863986800920581e-08
252,8.380833971324913e-06
253,6.981784861661955e-08
254,2.5181514175999993e-09
255,2.4571071064779945e-07
256,2.7613757795402375e-06
257,4.94846625767406e-07
258,1.7708263092245136e-06
259,7.375831002656355e-08
260,5.01101832e-08
261,4.50018194089705e-08
262,6.69027096774628e-07
263,2.062625e-08
264,4.663385634907246e-08
265,8.06790123456419e-07
266,7.049428850349806e-08
267,5.759488081843542e-07
268,5.4356e-06
269,3.29786249247632e-08
270,1.88903039388339e-08
271,4.8459987e-08
272,0.0
273,4.284011993078214e-08
274,3.3632022367607e-06
275,8.97613656706295e-08
276,3.359794744497565e-07
277,4.397366780427858e-08
278,5.00327092e-08
279,5.61226993865637e-07
280,4.968914802552563e-07
281,5.41031383106274e-08
282,5.07369579487459e-07
283,1.0619047619050406e-07
284,4.68407804e-08
285,4.4556340308483346e-08
286,4.58019664704457e-08
287,2.45876313727187e-06
288,3.364159590795422e-07
289,1.0608381056166453e-05
290,2.030530625142445e-08
291,8.670016354801519e-06
292,1.2544604390938654e-06
293,2.04705882353064e-07
294,9.274868686859414e-09
295,6.952484125214482e-08
296,3.036364655561619e-08
297,4.274110044039451e-08
298,5.04045844e-08
299,5.15279574e-08
300,1.58893236864761e-05
301,6.292456813735759e-06
302,4.38743362831665e-08
303,1.53073837930036e-05
304,1.5746241135337027e-09
305,7.870571968886805e-08
306,1.35312483530985e-07
307,7.07374134890901e-08
308,3.7667272887590743e-06
309,8.881904757230174e-08
310,2.2905199679999994e-09
311,1.327725e-05
312,5.11560822e-08
313,2.89389772204875e-07
314,4.665078463720033e-08
315,9.804640000019603e-08
316,4.7204231773418e-07
317,4.42791059340385e-08
318,2.67857971014707e-07
319,4.63836838e-08
320,2.0685294687653065e-08
321,6.517182320450201e-07
322,6.42654417456368e-06
323,6.058883187258538e-06
324,2.7024798489673145e-09
325,9.274868686859414e-09
326,3.46729670671934e-07
327,1.44461378608386e-05
328,4.3768478992805404e-08
329,2.197030266178291e-06
330,1.851967967702156e-08
331,1.0897049103724271e-07
332,1.5284821428569e-05
333,1.4556469695891313e-09
334,3.6606190745452764e-08
335,4.49412620466655e-07
336,6.804727272730178e-07
337,9.128579990841576e-09
338,5.00172144e-08
339,1.14091722702414e-07
340,1.45778947368509e-07
341,2.2510203779888156e-05
342,1.6925181423099458e-08
343,4.85529558e-08
344,1.64068957473963e-05
345,4.8889402061877164e-08
346,3.269854093340049e-07
347,4.7316463436980834e-08
348,0.0
349,1.87816512e-08
350,3.1182766684728815e-08
351,2.2758777359999995e-09
352,5.04045844e-08
353,3.4245297506063258e-09
354,0.0
355,2.02723126881403e-07
356,1.5675848634866225e-05
357,4.68640226e-08
358,1.87024656e-08
359,1.4867256816232575e-09
360,3.89768115942341e-07
361,0.0
362,4.920677606140316e-08
363,7.092658654450939e-08
364,1.285384615385e-07
365,4.94846625767406e-07
366,2.7907682342045535e-07
367,3.52431289099429e-07
368,1.86802547770632e-08
369,3.019316183797306e-08
370,5.46114226e-08
371,4.447320163222624e-08
372,8.1885161583893e-06
373,7.320247328536885e-06
374,4.12174223255573e-06
375,1.8490116835273396e-08
376,8.92793684211062e-06
377,4.37914110429921e-07
378,1.4229254443339195e-07
379,5.957006199999946e-08
380,2.5846213277288072e-06
381,1.08868421052614e-07
382,4.67710538e-08
383,1.4639119778495708e-09
384,3.3623188405824e-07
385,4.80881118e-08
386,5.14604200152144e-08
387,5.37724865231329e-07
388,5.539703932143431e-10
389,3.1182766684728815e-08
390,3.32492753623454e-07
391,3.4572513481839855e-08
392,8.36249005018864e-08
393,4.953637986125758e-09
394,3.31303591776777e-07
395,1.3565324540094692e-05
396,4.94748964e-08
397,1.17202749140945e-08
398,1.91339943342661e-07
399,4.64662162161698e-08
400,2.00228469852761e-08
401,6.895361305490301e-06
402,4.570966e-08
403,4.317205778992939e-08
404,4.94846625767406e-07
405,3.5968607075771094e-09
406,1.64755868156676e-05
407,7.641579884752252e-08
408,2.792736919004485e-07
409,4.21074306761917e-07
410,6.912964003249533e-06
411,1.9219209660268812e-08
412,4.3005691376398e-07
413,3.615240428036812e-09
414,2.797145658418992e-06
415,3.506237734836296e-08
416,8.74340425532702e-05
