Lat,Lon,wkt_geom,rate_5,rate_10,rate_25,rate_50,rate_100,rate_300,rate_500,rate_1000,rate_2000,ari10,ari50,ari100,ari200,ari500,ari1000,ari2500,ari500P,ari500M,ari500LL,ari500ZL
-53.022,73.229,Point (73.229248046875 -53.0220947265625),0.219757316,0.119898031,0.045029239,0.019161733,0.007367518,0.001209066,0.000451011,0.00010007,1.74E-05,0.119991627,0.483089589,0.80723064,1.292001229,2.260228759,3.317141568,5.295970419,4.950018735,0.968493855,1.365029986,1.038385144
6.829,73.237,Point (73.2374725341796875 6.82932233810424805),0.152939819,0.09884649,0.043583591,0.019576082,0.007591727,0.001220593,0.000447214,9.69E-05,1.72E-05,0.1,0.490599514,0.824569554,1.314338585,2.281596665,3.3279611,5.269176055,3.933446318,1.235272643,1.380561278,1.07006432
2.254,73.239,Point (73.23870849609375 2.25420069694519043),0.146572502,0.094186368,0.04293715,0.02045871,0.008662196,0.001752328,0.00075252,0.000210774,4.91E-05,0.1,0.509314898,0.895402981,1.490932418,2.757202442,4.223844926,7.121256983,4.733080684,1.502889349,1.757861429,1.419136582
1.964,73.247,Point (73.24749755859375 1.96373879909515381),0.142991738,0.088410752,0.036910115,0.016157508,0.006239421,0.001043829,0.000390263,8.37E-05,1.36E-05,0.1,0.42177891,0.716864521,1.159728986,2.065483662,3.066151357,4.939285562,3.48265406,1.098455216,1.300333748,1.069164939
1.8,73.25,Point (73.24956512451171875 1.8001866340637207),0.153566336,0.098330641,0.04394258,0.020592012,0.00877807,0.002028729,0.000983251,0.000332564,9.23E-05,0.1,0.512175455,0.902428693,1.538896357,3.029304443,4.942252906,8.94136849,5.387246619,1.507527421,2.036893833,1.737982998
-0.602,73.262,Point (73.26224517822265625 -0.60209369659423828),0.158191426,0.106773548,0.051910012,0.025666853,0.011212376,0.00234254,0.001000909,0.000274958,6.36E-05,0.109888802,0.621469144,1.090709635,1.811034503,3.305586898,5.0015311,8.242278545,5.514698167,1.903195208,2.095909964,1.631592106
3.596,73.296,Point (73.2960357666015625 3.59625625610351563),0.118528669,0.07263993,0.02979523,0.012765004,0.004738862,0.000700716,0.000243942,4.88E-05,7.92E-06,0.1,0.350584355,0.597760659,0.964692949,1.695153447,2.487198904,3.956869859,2.781319596,0.938616975,1.045773283,0.826978902
5.367,73.304,Point (73.30442047119140625 5.36660861968994141),0.109574963,0.064717173,0.02637312,0.011677197,0.004538361,0.00070059,0.000242934,4.65E-05,6.74E-06,0.1,0.319558833,0.563721361,0.935826501,1.679979407,2.482257559,3.95613976,2.893099755,0.913214241,1.055431715,0.822537038
15.629,73.304,Point (73.30413055419921875 15.62876224517822266),0.141526663,0.085009522,0.035706106,0.016463306,0.006901997,0.001318184,0.000521009,0.000123715,2.39E-05,0.1,0.422803748,0.750723839,1.265264484,2.328709087,3.509536043,5.711593263,4.429157366,1.079724606,1.509407852,1.226421517
6.916,73.305,Point (73.30501556396484375 6.91635227203369141),0.135449366,0.083899529,0.03504507,0.01532677,0.005863195,0.000934005,0.00034323,7.55E-05,1.36E-05,0.1,0.404739499,0.688411458,1.109543039,1.956671985,2.890529272,4.632478956,3.4527416,1.046887291,1.200946206,0.914135931
6.221,73.305,Point (73.30545806884765625 6.22066926956176758),0.133789205,0.086105338,0.038560582,0.017804577,0.007181563,0.00125404,0.000480065,0.000110793,2.09E-05,0.1,0.452785936,0.784347046,1.282815482,2.288023349,3.394313972,5.469136469,3.829151489,1.331097876,1.424450743,1.114748708
3.415,73.307,Point (73.30704498291015625 3.41512846946716309),0.120232768,0.073134529,0.030054512,0.013124935,0.005065908,0.000825934,0.000303657,6.53E-05,1.13E-05,0.1,0.355318334,0.614250654,1.007333818,1.809351136,2.699403986,4.358599177,3.125245654,0.980316551,1.143518452,0.907880144
2.539,73.318,Point (73.3175048828125 2.53949785232543945),0.146242241,0.096814691,0.045539089,0.021995287,0.009490654,0.002088644,0.000951752,0.00028906,7.19E-05,0.1,0.542953647,0.959392995,1.622598175,3.085388429,4.84541646,8.351587036,5.185984526,1.704755699,2.038904961,1.699402193
6.022,73.329,Point (73.32904052734375 6.02202129364013672),0.129536874,0.080778761,0.034271965,0.015181881,0.005871727,0.000949936,0.000349161,7.57E-05,1.32E-05,0.1,0.400319748,0.686164107,1.111841443,1.970505727,2.915930501,4.67290537,3.286827932,1.128293835,1.225134723,0.972337161
4.279,73.33,Point (73.32987213134765625 4.27903985977172852),0.122719082,0.075001217,0.030974492,0.013527545,0.005168123,0.000781081,0.000266137,4.91E-05,6.87E-06,0.1,0.364603034,0.627407564,1.020215202,1.800030854,2.636375594,4.143396852,3.123060112,0.979908313,1.124307203,0.935156777
5.621,73.338,Point (73.33750152587890625 5.62087869644165039),0.120371103,0.072642181,0.029705934,0.012941281,0.004901386,0.000716511,0.000240139,4.34E-05,5.92E-06,0.1,0.351697876,0.606372848,0.985389505,1.731375553,2.525781558,3.964661135,3.021968535,0.9524869,1.067485672,0.850349076
