idx,l2n,TRUE,truemax,id,eve_id,max_off,wave_period,dominant_period,mean_prob,dzmax,dzmin,dmax,lon,lat,max_absdz,event_type,Mag,SR
29,0.1221522492585531,6975,2.7677197456359863,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02210N3510_S000,E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02210N3510_S000,0.37,16,7.7,1.7768522091173377e-07,0.001,0.001,2.768,22.1,35.1,0.001,1,8.24,HL
30,0.6956329880641744,32338,8.804832458496094,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02239N3505_S003,E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02239N3505_S003,1.63,23,7.7,2.78028889313302e-08,0.008,0.007,8.805,22.39,35.05,0.008,1,8.88,HL
31,0.034559752,1751,1.5084902048110962,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M754_E01766N3824_S000,E01548N3896E01854N3659-PS-Mur_PYes_Var-M754_E01766N3824_S000,0.33,17,8.6,5.133469851611971e-07,0.001,0.001,1.508,17.66,38.24,0.001,1,7.54,CL
32,0,387,0.1929056942462921,PS_manning003/E02020N3739E02658N3366-PS-Str_PNo_Hom-M754_E02175N3668_S000,E02020N3739E02658N3366-PS-Str_PNo_Hom-M754_E02175N3668_S000,0.07,0,26.7,8.573216649950927e-06,0.001,0.001,0.193,21.75,36.68,0.001,1,7.54,HL
33,0.2292372823288783,12723,3.575763226,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M837_E01748N3747_S000,E01548N3896E01854N3659-PS-Mur_PYes_Hom-M837_E01748N3747_S000,1.16,13,8,2.369702377680333e-08,0.014,0.011,3.576,17.48,37.47,0.014,1,8.37,CL
34,0.4652676228843507,17792,7.444809436798096,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02232N3550_S005,E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02232N3550_S005,1.58,16,7.7,2.9112198773681988e-08,0.002,0.002,7.445,22.32,35.5,0.002,1,8.61,HL
35,0.3251927004306124,14875,6.067561149597168,PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M861_E02099N3565_S004,E01849N3766E02950N3220-PS-Str_PYes_Var-M861_E02099N3565_S004,1,24,9.6,2.4957290355441534e-08,0.002,0.002,6.068,20.99,35.65,0.002,1,8.61,HL
36,0.3832314482644622,23320,5.426684856414795,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02313N3510_S001,E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02313N3510_S001,1.05,13,26.7,2.00210584039469e-08,0.004,0.004,5.427,23.13,35.1,0.004,1,8.71,HL
37,0.1068455801377694,5397,2.723667621612549,PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M809_E02022N3645_S000,E01849N3766E02950N3220-PS-Str_PYes_Var-M809_E02022N3645_S000,0.44,21,8.6,1.1434873187559245e-07,0.001,0.001,2.724,20.22,36.45,0.001,1,8.09,HL
38,0.1293490970392128,7255,3.347763538360596,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02122N3652_S000,E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02122N3652_S000,0.72,19,7.7,2.0242702943916945e-07,0.001,0.001,3.348,21.22,36.52,0.001,1,8.5,HL
39,0.4693680490642806,20947,7.055706501,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02229N3514_S005,E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02229N3514_S005,1.28,13,7.7,1.8910122294346124e-08,0.004,0.004,7.056,22.29,35.14,0.004,1,8.71,HL
40,0.435483339,18888,6.7703633308410645,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02242N3492_S001,E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02242N3492_S001,1.58,13,7.7,2.76393323902107e-08,0.002,0.002,6.77,22.42,34.92,0.002,1,8.61,HL
41,0.086618532,4624,2.6712288856506348,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M754_E01813N3845_S000,E01548N3896E01854N3659-PS-Mur_PYes_Var-M754_E01813N3845_S000,0.58,14,8.3,2.2564726920867089e-07,0.001,0.001,2.671,18.13,38.45,0.001,1,7.54,CL
42,0.1892755786469897,10971,1.9555803537368772,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02425N3440_S004,E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02425N3440_S004,0.43,58,26.7,2.7773939801532066e-08,0.004,0.004,1.956,24.25,34.4,0.004,1,8.88,HL
43,0.014289591,1039,0.5532747507095337,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02230N3611_S000,E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02230N3611_S000,0.14,21,9.6,3.365917730779072e-06,0.001,0.001,0.553,22.3,36.11,0.001,1,7.92,HL
44,0.01408926,1234,0.4874041378498077,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M754_E01661N3771_S000,E01548N3896E01854N3659-PS-Mur_PYes_Hom-M754_E01661N3771_S000,0.14,22,8.6,6.75453915602872e-07,0.001,0.001,0.487,16.61,37.71,0.001,1,7.54,CL
45,0.020697093,1689,0.6048346757888794,PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M837_E02287N3633_S000,E02113N3823E02873N3483-PS-Str_PNo_Var-M837_E02287N3633_S000,0.16,13,80,8.051575854649505e-07,0.001,0.001,0.605,22.87,36.33,0.001,1,8.37,HL
46,0.105448459,7160,1.3931260108947754,PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Hom-M861_E02350N3576_S001,E02113N3823E02873N3483-PS-Mur_PNo_Hom-M861_E02350N3576_S001,0.46,14,80,2.1492740295675082e-07,0.002,0.002,1.393,23.5,35.76,0.002,1,8.61,HL
47,0.012281305,1169,0.4962131381034851,PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Hom-M774_E02066N3753_S000,E01964N3926E02184N3685-PS-Mur_PYes_Hom-M774_E02066N3753_S000,0.14,16,26.7,1.4708275285587673e-05,0.001,0.001,0.496,20.66,37.53,0.001,1,7.74,HL
