idx,eve_id,MIH,P05,P16,P50,P84,P95,Pmean
25896,E01548N3896E01854N3659-PS-Str_PYes_Var-M809_E01680N3686_S000,1.05,0.0,0.0,5.231761406779273e-08,6.533199251872992e-07,2.1881873079354377e-06,4.730655371575662e-07
25897,E02113N3823E02873N3483-PS-Str_PNo_Hom-M861_E02280N3610_S004,0.8,0.0,0.0,0.0,5.06763918409369e-06,1.0740225113864877e-05,3.875334520693992e-06
25911,E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02253N3527_S004,1.55,0.0,0.0,0.0,4.682615587194545e-07,2.0450475742673747e-06,3.0291967004850935e-07
25912,E02020N3739E02658N3366-PS-Mur_PYes_Var-M850_E02182N3695_S000,0.45,0.0,1.226479045579376e-17,1.5459613412269205e-06,2.5806255141429638e-05,0.00011968431974641993,1.9309569760805055e-05
25931,E01517N3917E01678N3772-PS-Str_PNo_Var-M809_E01643N3856_S000,0.23,0.0,0.0,7.214557651479995e-07,3.46466912807393e-06,1.0175481629884997e-05,2.1596470174584636e-06
25934,E02113N3823E02873N3483-PS-Str_PNo_Hom-M871_E02243N3633_S005,1.19,0.0,0.0,0.0,0.0,1.0418004726101357e-05,1.0213199281816658e-06
25947,E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02253N3527_S005,1.5,0.0,0.0,0.0,4.954695356366046e-07,2.1638734871766104e-06,3.205205839756938e-07
25957,E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02337N3493_S002,1.36,0.0,0.0,0.0,7.213912719923822e-07,3.133148469002067e-06,4.6577120525226854e-07
25965,E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02279N3514_S003,1.54,0.0,0.0,0.0,5.38049233879593e-07,2.349832609772512e-06,3.488982861544731e-07
25967,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M902_E02409N3467_S002,1.47,0.0,0.0,0.0,5.982020227102733e-07,2.612539023726301e-06,3.848229254780044e-07
25972,E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02188N3566_S002,1.43,0.0,0.0,0.0,7.097712746085191e-07,3.099797530662649e-06,4.5883297328679834e-07
25982,E02113N3823E02873N3483-PS-Str_PNo_Hom-M871_E02276N3623_S002,0.94,0.0,0.0,0.0,0.0,1.7311647838670073e-05,1.6962184082282743e-06
25985,E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02344N3478_S001,1.72,0.0,0.0,0.0,5.576164159872251e-07,2.4148079770154158e-06,3.5848059898417183e-07
26014,E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02368N3461_S003,1.45,0.0,0.0,0.0,5.580976564114635e-07,2.424718484857067e-06,3.5885084709633196e-07
26015,E01517N3917E01678N3772-PS-Str_PNo_Var-M774_E01575N3795_S000,0.26,0.0,0.0,4.839977524105985e-06,1.3026776155033841e-05,3.648847333989893e-05,8.609064623000066e-06
26028,E01548N3896E01854N3659-PS-Str_PYes_Var-M809_E01689N3734_S000,0.83,0.0,0.0,9.091179403766255e-08,8.472599455731512e-07,3.5564290686132005e-06,5.984564024282465e-07
26041,E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02409N3467_S003,1.48,0.0,0.0,0.0,5.584301162957236e-07,2.4388424235623025e-06,3.5923768705145837e-07
26045,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M902_E02188N3566_S003,1.44,0.0,0.0,0.0,5.589568090159405e-07,2.4411426586548566e-06,3.613386788034527e-07
26064,E02020N3739E02658N3366-PS-Str_PYes_Hom-M837_E02146N3723_S000,0.49,0.0,5.458578248428677e-14,1.5501971439451434e-06,1.437239935155131e-05,7.88017456146044e-05,1.1541247973651956e-05
26066,E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02351N3465_S001,1.49,0.0,0.0,0.0,6.554288255530278e-07,2.84116713006661e-06,4.2139321686255346e-07
26067,E01517N3917E01678N3772-PS-Mur_PNo_Hom-M792_E01619N3854_S000,0.25,1.0444204548281741e-11,8.784904958698891e-07,3.894697968729851e-06,1.0627013173096886e-05,3.0606066222055154e-05,6.948588827548189e-06
26074,E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02337N3493_S004,1.47,0.0,0.0,0.0,5.423360367101722e-07,2.3554753004012894e-06,3.5016296880412334e-07
26075,E02113N3823E02873N3483-PS-Mur_PYes_Hom-M824_E02138N3737_S000,0.36,5.1325572148722463e-08,6.985365045705957e-06,2.9929298745434753e-05,5.628271987237139e-05,7.985509295897223e-05,3.252208637970386e-05
26109,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M902_E02337N3493_S002,1.3,0.0,0.0,0.0,6.805912296613118e-07,2.9559456178894428e-06,4.39428379065307e-07
26130,E01548N3896E01854N3659-PS-Str_PYes_Var-M809_E01693N3677_S000,0.97,0.0,0.0,5.690927952883858e-08,6.959906237563269e-07,2.574761978277896e-06,5.120812515623139e-07
26131,E02113N3823E02873N3483-PS-Str_PNo_Hom-M871_E02348N3591_S005,0.77,0.0,0.0,0.0,6.38779168181743e-07,1.0246857698929808e-05,1.8160953574388915e-06
26136,E02020N3739E02658N3366-PS-Str_PYes_Var-M850_E02182N3695_S000,0.44,0.0,1.2827962764051827e-17,1.6169484991530648e-06,2.6991221841666252e-05,0.00012517996150698991,2.0196222901178988e-05
26143,E01517N3917E01678N3772-PS-Str_PNo_Hom-M792_E01632N3846_S000,0.24,1.1457346760886807e-11,8.858228817384011e-07,4.104748671019653e-06,1.1090563532582297e-05,3.143181199004522e-05,7.238113362029354e-06
26149,E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02296N3512_S004,1.41,0.0,0.0,0.0,5.736689224965172e-07,2.505395150505945e-06,3.730857253581392e-07
26164,E02113N3823E02873N3483-PS-Str_PNo_Hom-M880_E02320N3583_S005,1.75,0.0,0.0,0.0,0.0,1.968651260656979e-06,2.027825552346546e-07
26180,E01548N3896E01854N3659-PS-Str_PYes_Var-M809_E01633N3827_S000,0.26,7.442487875547949e-20,8.266184059047276e-09,1.0266776482112931e-07,2.087038212895854e-06,9.373487837837914e-06,1.9104569769824836e-06
26183,E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02279N3514_S002,1.36,0.0,0.0,0.0,5.516347639068515e-07,2.409164952370438e-06,3.5770782967678796e-07
26216,E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02337N3493_S004,1.41,0.0,0.0,0.0,6.896857553580089e-07,2.9954449858041783e-06,4.453003217397026e-07
26223,E02113N3823E02873N3483-PS-Str_PNo_Hom-M871_E02350N3576_S003,0.67,0.0,0.0,0.0,9.790634506871312e-07,1.5741414193038846e-05,2.7891686908337087e-06
26241,E02113N3823E02873N3483-PS-Mur_PNo_Hom-M837_E02200N3695_S000,0.33,6.563445408165015e-11,1.4071893955475795e-06,1.3422495377472195e-05,3.402624568983886e-05,4.8433134144679104e-05,1.811065494045862e-05
26246,E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02276N3623_S005,0.78,0.0,0.0,0.0,4.918699665497919e-06,1.0393753478087622e-05,3.751403223686573e-06
26247,E01577N3897E01966N3571-PS-Mur_PYes_Var-M809_E01741N3680_S000,0.81,0.0,0.0,1.3354016288418127e-08,2.118965370333248e-07,1.7000262199401303e-06,6.132331037227765e-07
26249,E01577N3897E01966N3571-PS-Str_PYes_Var-M809_E01739N3699_S000,0.79,0.0,0.0,1.3945168115283587e-08,2.269676132196137e-07,1.8206945072709286e-06,6.287579924246196e-07
26251,E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02270N3527_S002,1.63,0.0,0.0,0.0,0.0,2.085079760138032e-06,2.915091285317009e-07
26252,E02113N3823E02873N3483-PS-Mur_PNo_Hom-M871_E02350N3576_S002,0.75,0.0,0.0,0.0,6.116844354329666e-07,9.834682365915851e-06,1.742574574490088e-06
26255,E01517N3917E01678N3772-PS-Str_PYes_Hom-M792_E01632N3846_S000,0.24,1.1457346760886807e-11,8.858228817384011e-07,4.104748671019653e-06,1.1090563532582297e-05,3.143181199004522e-05,7.238113362029354e-06
26277,E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02259N3628_S005,0.67,0.0,0.0,0.0,5.688594335073641e-06,1.1960259470827673e-05,4.323886927210628e-06
26279,E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02401N3455_S005,1.13,0.0,0.0,0.0,9.173203594161508e-07,4.005573558564936e-06,5.906268227319617e-07
26282,E02113N3823E02873N3483-PS-Str_PNo_Hom-M880_E02383N3566_S004,1.67,0.0,0.0,0.0,0.0,2.245218193316915e-06,2.3220228273572905e-07
26292,E02113N3823E02873N3483-PS-Mur_PNo_Hom-M861_E02306N3593_S001,0.59,0.0,0.0,0.0,7.0542922262430535e-06,1.4984619893310652e-05,5.402037251490728e-06
