id	count	dmax	logsum	mean	sd	dzmin	dzmax	hmax
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01973N3288_D010_S067D50R090_A006995_S075	81938	8.283	11.341	1.028	1.066	-0.003	-0.003	9.126
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01731N3445_D010_S247D50R090_A006995_S075	56174	4.855	10.878	0.944	0.966	-0.01	-0.009	5.566
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01905N3355_D010_S247D70R270_A004781_S062	46677	9.762	10.667	0.92	1.077	0.002	0.002	11.876
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M774_E01801N3378_D010_S067D50R090_A003139_S050	17194	4.783	9.641	0.895	0.817	-0.002	-0.002	7.027
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M792_E01551N3692_D125_S292D10R270_A004781_S062	40947	5.104	10.414	0.814	0.92	-1.028	-0.278	6.705
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01731N3445_D010_S247D50R090_A004781_S062	22415	3.423	9.975	0.959	0.838	-0.006	-0.005	4.547
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M774_E01882N3378_D010_S247D70R270_A003139_S050	24297	9.025	10.076	0.978	1.023	0.001	0.001	11.461
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01794N3490_D010_S247D30R090_A006995_S075	74971	6.706	11.19	0.966	0.992	-0.008	-0.007	7.432
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01519N3670_D010_S337D10R270_A006995_S075	4416	1.455	7.509	0.413	0.358	-1.647	0.304	2.965
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01575N3670_D010_S112D90R090_A006995_S075	112383	6.3	11.559	0.932	0.981	0.136	0.422	6.816
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01660N3512_D010_S247D50R090_A006995_S075	72436	5.897	11.132	0.943	0.988	-0.015	-0.014	7.001
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01909N3378_D010_S067D70R090_A006995_S075	98445	15.019	11.609	1.118	1.213	-0.003	-0.003	16.555
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01825N3512_D010_S247D50R090_A006995_S075	54513	5.432	10.835	0.932	0.949	-0.006	-0.006	5.967
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01575N3670_D010_S022D10R270_A006995_S075	69721	9.762	11.122	0.97	1.078	0.026	0.035	10.914
BS_4-8_manning003_extreme/E01108N3882E01527N3690-BS-M809_E01509N3782_D010_S112D90R270_A012497_S042	296438	9.945	13.014	1.513	1.187	0.427	0.886	11.33
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01747N3535_D010_S247D30R090_A006995_S075	71358	6.492	11.117	0.943	0.978	-0.011	-0.01	6.912
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01644N3580_D010_S067D70R270_A006995_S075	102281	10.876	11.633	1.103	1.08	0.006	0.007	13.331
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01828N3378_D010_S067D30R090_A006995_S075	68874	8.907	11.108	0.969	1.04	-0.006	-0.005	11.417
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01519N3670_D010_S067D90R090_A006995_S075	179119	17.76	12.333	1.268	1.236	0.089	0.21	19.346
BS_4-8_manning003_extreme/E01108N3882E01527N3690-BS-M809_E01442N3715_D010_S067D70R090_A012497_S042	41030	9.734	10.658	1.036	1.179	-2.526	1.428	9.614
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M774_E01855N3378_D010_S247D30R090_A003139_S050	16308	4.006	9.601	0.906	0.768	-0.002	-0.002	5.187
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01664N3535_D010_S247D30R090_A006995_S075	79613	6.607	11.267	0.983	1.002	-0.017	-0.015	7.545
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01636N3535_D010_S067D70R270_A004781_S062	24872	4.708	10.082	0.961	0.887	0.005	0.006	5.515
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01758N3445_D010_S067D30R090_A006995_S075	66396	7.149	11.059	0.957	1.014	-0.009	-0.008	8.093
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01874N3333_D010_S067D50R270_A006995_S075	57483	7.477	10.893	0.936	1.028	0.005	0.005	8.9
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01805N3400_D010_S067D30R090_A006995_S075	66044	7.492	11.053	0.956	1.014	-0.007	-0.006	9.78
BS_4-8_manning003_extreme/E01548N3896E01854N3659-BS-M754_E01619N3760_D010_S337D30R090_A003524_S022	26232	4.145	10.118	0.945	0.859	-0.011	-0.009	5.571
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01794N3490_D010_S067D70R090_A006995_S075	96088	10.464	11.484	1.011	1.05	-0.004	-0.004	12.326
BS_4-8_manning003_extreme/E01108N3882E01527N3690-BS-M809_E01442N3715_D010_S247D70R270_A012497_S042	384838	14.88	13.6	2.095	1.293	1.276	2.392	14.553
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01853N3512_D010_S247D50R090_A006995_S075	50342	4.705	10.766	0.941	0.939	-0.005	-0.005	5.082
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01692N3535_D010_S067D30R090_A006995_S075	76662	9.078	11.176	0.932	1.014	-0.016	-0.014	11.489
