id	count	max	logsum	mean	sd
E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02164N3590_S004	25563	10.51	11.49	3.83	2.07
E01548N3896E01854N3659-PS-Str_PYes_Var-M850_E01710N3774_S000	27018	8.11	11.19	2.67	1.26
E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02147N3560_S005	19554	7.73	10.95	2.91	1.44
E01577N3897E01966N3571-PS-Str_PYes_Var-M861_E01750N3709_S001	36859	7.13	11.64	3.07	1.3
E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01772N3748_S001	30890	6.77	11.36	2.78	1.19
E02113N3823E02873N3483-PS-Str_PYes_Var-M809_E02148N3750_S000	864	0.39	5.43	0.26	0.09
E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02226N3538_S002	19947	9.5	11.07	3.23	1.72
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02129N3665_S005	12365	3.98	9.92	1.65	0.54
E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02194N3581_S003	25861	9.48	11.4	3.44	1.79
E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02359N3451_S005	38915	11.97	11.91	3.83	2.19
E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02247N3453_S002	16081	7.15	10.46	2.17	0.81
E01548N3896E01854N3659-PS-Str_PYes_Var-M809_E01655N3704_S000	12359	4.67	10.04	1.86	0.91
E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02268N3554_S005	40192	11.18	11.82	3.4	1.77
E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02218N3525_S001	32800	9.77	11.62	3.4	1.86
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02337N3493_S002	51226	12.43	12.39	4.68	2.54
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02094N3692_S003	8906	2.24	9.32	1.25	0.25
E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01689N3734_S004	31698	6.38	11.28	2.5	0.79
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02144N3587_S004	16462	7.09	10.65	2.56	1.29
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01670N3819_S001	31683	6.3	11.3	2.55	0.89
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02243N3539_S001	46868	11.7	12.17	4.11	2.21
E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02144N3587_S001	20003	8.38	11.0	2.99	1.52
E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02337N3493_S001	38567	10.64	11.85	3.63	2.02
