eve_id,id,max_off,wave_period,dominant_period,mean_prob,dzmax,dzmin,count,dmax,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id
E01267N3753E01646N3535-BS-M809_E01502N3737_D144_S067D30R090_A006995_S075,BS_manning003/E01267N3753E01646N3535-BS-M809_E01502N3737_D144_S067D30R090_A006995_S075,1.9,17,9.6,4.5067214932630606e-09,0.541,0.472,34153,4.405,15.0245,37.3774,37371502,919.0,0.541,0.0,8.562770837199814e-09,1.8674136321195144e-05,919.0,"37.157,14.742"
E01108N3882E01527N3690-BS-M774_E01477N3760_D010_S067D30R090_A005608_S028,BS_manning003/E01108N3882E01527N3690-BS-M774_E01477N3760_D010_S067D30R090_A005608_S028,0.25,18,12.6,1.7006158988091267e-08,0.043,0.018,1327,0.816,14.777,37.6022,37601477,103.0,0.043,1.0,4.251539747022817e-09,1.8674136321195144e-05,103.0,"37.457,14.742"
E01267N3753E01646N3535-BS-M732_E01498N3715_D010_S067D50R270_A001180_S030,BS_manning003/E01267N3753E01646N3535-BS-M732_E01498N3715_D010_S067D50R270_A001180_S030,0.18,21,8.0,6.514122369223818e-08,0.088,-0.025,922,0.993,14.9887,37.1526,37151498,656.0,0.088,1.0,1.1725420264602873e-08,1.8674136321195144e-05,990.0,"36.857,14.742"
E01267N3753E01646N3535-BS-M754_E01530N3737_D010_S337D70R090_A001972_S039,BS_manning003/E01267N3753E01646N3535-BS-M754_E01530N3737_D010_S337D70R090_A001972_S039,2.11,11,7.7,1.0015034353793885e-08,0.616,0.195,30803,15.712,15.3075,37.3774,37371530,1315.0,0.616,0.0,2.1131722486505094e-08,1.8674136321195144e-05,1315.0,"37.157,15.042"
E01267N3753E01646N3535-BS-M754_E01575N3670_D091_S157D10R090_A001972_S039,BS_manning003/E01267N3753E01646N3535-BS-M754_E01575N3670_D091_S157D10R090_A001972_S039,0.56,13,8.0,3.0355727765570204e-09,0.234,0.057,8991,3.749,15.7595,36.7029,36701575,602.0,0.234,0.0,1.6999207548719316e-09,1.8674136321195144e-05,602.0,"36.557,15.642"
E01470N3877E01631N3641-BS-M732_E01538N3782_D115_S112D30R090_A002108_S017,BS_manning003/E01470N3877E01631N3641-BS-M732_E01538N3782_D115_S112D30R090_A002108_S017,0.25,12,8.0,4.3951413228284766e-08,0.013,0.007,1509,0.659,15.3821,37.8271,37821538,393.0,0.013,1.0,1.0987853307071192e-08,1.8674136321195144e-05,439.0,"37.757,15.342"
E01267N3753E01646N3535-BS-M732_E01527N3715_D010_S202D30R270_A001180_S030,BS_manning003/E01267N3753E01646N3535-BS-M732_E01527N3715_D010_S202D30R270_A001180_S030,0.36,16,26.7,1.6787599078274916e-08,1.394,-0.144,34721,5.353,15.2708,37.1526,37151527,1118.0,1.394,0.0,6.043535668178969e-09,1.8674136321195144e-05,2045.0,"36.857,15.042"
E01267N3753E01646N3535-BS-M754_E01495N3692_D010_S247D70R090_A001972_S039,BS_manning003/E01267N3753E01646N3535-BS-M754_E01495N3692_D010_S247D70R090_A001972_S039,1.69,15,7.7,7.621770925931325e-09,1.333,-2.386,5103,8.237,14.9532,36.9278,36921495,334.0,2.386,0.0,1.2880792864823939e-08,1.8674136321195144e-05,990.0,"36.857,14.742"
E01267N3753E01646N3535-BS-M774_E01572N3647_D107_S022D50R270_A003139_S050,BS_manning003/E01267N3753E01646N3535-BS-M774_E01572N3647_D107_S022D50R270_A003139_S050,1.17,14,8.0,3.147932722026839e-09,-0.054,-0.1,13395,6.371,15.7223,36.4781,36471572,380.0,0.1,0.0,3.6830812847714015e-09,1.8674136321195144e-05,380.0,"36.257,15.642"
E01470N3877E01631N3641-BS-M774_E01534N3760_D010_S112D90R270_A005608_S028,BS_manning003/E01470N3877E01631N3641-BS-M774_E01534N3760_D010_S112D90R270_A005608_S028,1.89,12,8.6,1.0396818480753706e-08,0.147,0.091,25185,9.869,15.3446,37.6022,37601534,569.0,0.147,0.0,1.9649986928624504e-08,1.8674136321195144e-05,575.0,"37.457,15.342"
