id	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02297N3425_S000	37	35	31	31	31	23	36	35	34	0	0	72	0	13	13	16	18	16	11	15	10	11	27	0	0	10	10	25	16	10	10	11	11	17	10	21	10	10	11	11	11	10	10	11	11	10	11	11	10	10	11	10	10	11	13	10	10	11	10	10	11	11	12	11	11	11	19	19	11	11	16	16	18	42	16	16	32	12	11	11	12	19	11	18	12	10	10
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02253N3503_S002	20	19	19	19	18	19	19	20	14	0	0	10	0	16	17	17	16	16	11	11	17	17	11	0	0	13	19	20	11	23	18	11	16	18	21	20	21	11	21	11	11	17	17	17	16	16	22	16	12	17	16	17	12	20	16	20	12	23	17	11	12	11	12	12	12	19	21	12	22	21	15	13	13	13	20	18	18	20	20	20	20	15	20	21	13	22	16
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M809_E02227N3634_S000	0	0	0	0	47	46	48	49	50	0	0	10	0	12	10	16	13	10	18	15	16	25	120	0	0	26	24	26	25	30	28	29	22	23	28	21	80	15	21	14	15	14	14	11	20	25	11	25	26	26	24	55	22	21	25	29	37	28	43	26	38	38	39	38	36	12	14	21	21	20	58	10	81	10	54	54	54	59	58	59	58	58	59	214	58	58	59
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02210N3510_S000	90	91	37	48	49	20	47	49	10	0	0	11	0	11	10	12	12	14	12	15	11	16	13	0	0	10	20	23	14	10	25	15	11	16	15	20	20	11	12	12	12	12	11	13	16	15	16	12	18	19	11	12	16	14	16	17	11	11	11	12	25	26	28	11	11	11	19	22	12	11	13	12	11	11	17	16	16	11	12	12	12	17	14	11	11	11	13
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02239N3505_S003	16	16	17	16	21	23	11	22	10	0	0	10	0	11	10	11	11	11	11	10	11	18	11	0	21	11	10	10	11	15	18	11	11	19	11	21	10	11	10	10	10	16	19	10	24	12	13	10	13	10	10	10	10	10	23	11	14	16	18	11	15	16	16	16	12	15	15	13	15	14	13	15	13	25	14	14	14	12	10	10	10	10	21	14	15	14	14
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M754_E01766N3824_S000	0	0	70	105	43	24	25	25	44	0	0	50	0	48	48	51	51	53	52	23	23	23	37	0	0	21	26	22	22	22	27	22	38	26	24	27	42	22	23	23	23	44	40	23	25	25	24	22	25	26	25	18	14	13	17	13	14	50	15	24	24	25	26	29	28	17	20	23	21	20	16	16	47	24	43	21	54	17	16	16	47	15	0	45	15	16	16
PS_manning003/E02020N3739E02658N3366-PS-Str_PNo_Hom-M754_E02175N3668_S000	0	0	0	0	0	96	45	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	138	0	0	0	279	208	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	35	39	34	35	34	35	39	41	0	51	50	71	184	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	210
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M837_E01748N3747_S000	62	57	55	53	52	23	18	17	19	0	0	15	0	12	11	11	10	21	22	22	20	20	23	0	0	23	21	22	21	23	20	16	19	17	22	19	21	16	13	13	13	13	13	12	16	14	15	13	23	20	20	17	23	19	13	18	14	35	36	35	46	10	35	36	45	19	21	22	20	20	19	20	11	10	22	21	20	20	19	19	20	17	20	18	19	19	20
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02232N3550_S005	36	36	18	16	17	19	21	34	35	0	0	13	0	14	14	13	14	11	12	13	11	12	14	0	0	13	13	14	10	12	14	12	10	16	10	12	13	12	12	12	12	12	11	11	11	10	10	15	11	12	11	11	12	10	16	12	16	10	16	20	23	27	28	29	10	18	19	20	11	11	12	16	10	17	16	15	15	12	11	11	13	11	14	10	15	10	11
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M861_E02099N3565_S004	44	43	44	21	45	25	27	28	39	0	0	10	0	12	11	11	12	19	19	19	18	18	20	0	0	11	20	28	30	25	20	19	25	19	19	27	21	19	20	19	19	19	25	25	24	24	24	24	24	25	24	25	20	20	24	29	11	20	27	29	28	23	21	32	32	18	25	26	19	19	21	23	20	17	20	23	23	21	20	21	26	20	25	27	25	23	23
