eve_id,id,max_off,mean_prob,dzmax,dzmin,max,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id
E01548N3896E01854N3659-PS-Str_PYes_Var-M754_E01763N3862_S000,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M754_E01763N3862_S000,0.23,3.184799137008017e-07,0.001,0.001,1.323,17.63,38.62,38611763,21.0,0.001,1.0,7.32503801511844e-08,1.8674136321195144e-05,87.0,"38.357,17.442"
E01964N3926E02184N3685-PS-Mur_PYes_Var-M774_E02037N3706_S000,PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Var-M774_E02037N3706_S000,0.18,4.871424813699784e-06,0.001,0.001,1.502,20.37,37.06,37062037,21.0,0.001,1.0,8.768564664659611e-07,1.8674136321195144e-05,126.0,"37.037,20.082"
E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02253N3503_S005,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02253N3503_S005,1.41,2.7867703122037112e-08,0.008,0.008,5.776,22.53,35.03,35032253,124.0,0.008,1.0,3.9293461402072324e-08,1.8674136321195144e-05,523.0,"34.727,22.392"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M824_E02253N3503_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M824_E02253N3503_S000,0.39,1.895984321563083e-07,0.001,0.001,1.228,22.53,35.03,35032253,124.0,0.001,1.0,7.394338854096023e-08,1.8674136321195144e-05,523.0,"34.727,22.392"
E01577N3897E01966N3571-PS-Str_PYes_Hom-M809_E01773N3729_S000,PS_manning003/E01577N3897E01966N3571-PS-Str_PYes_Hom-M809_E01773N3729_S000,0.32,9.694570201154353e-08,0.004,0.002,2.197,17.73,37.29,37291773,30.0,0.004,1.0,3.102262464369393e-08,1.8674136321195144e-05,178.0,"37.037,17.442"
E01849N3766E02950N3220-PS-Mur_PYes_Var-M809_E02008N3644_S000,PS_manning003/E01849N3766E02950N3220-PS-Mur_PYes_Var-M809_E02008N3644_S000,0.46,1.0130555113142565e-07,0.001,0.001,2.403,20.08,36.44,36442007,16.0,0.001,1.0,4.66005535204558e-08,1.8674136321195144e-05,37.0,"36.377,19.752"
E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02330N3507_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02330N3507_S000,0.33,1.4133943168602786e-07,0.001,0.001,1.099,23.3,35.07,35072330,60.0,0.001,1.0,4.66420124563892e-08,1.8674136321195144e-05,217.0,"35.057,23.052"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02180N3508_S001,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02180N3508_S001,0.84,1.797730191560922e-08,0.004,0.004,3.651,21.8,35.08,35082180,72.0,0.004,1.0,1.5100933609111745e-08,1.8674136321195144e-05,519.0,"35.057,21.732"
E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02226N3659_S003,PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02226N3659_S003,0.52,2.155781228084532e-07,0.002,0.002,2.103,22.26,36.59,36592226,68.0,0.002,1.0,1.1210062386039567e-07,1.8674136321195144e-05,225.0,"36.377,22.062"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02253N3503_S001,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02253N3503_S001,1.18,2.7867703122037112e-08,0.008,0.008,5.112,22.53,35.03,35032253,124.0,0.008,1.0,3.288388968400379e-08,1.8674136321195144e-05,523.0,"34.727,22.392"
