eve_id,id,max_off,mean_prob,dzmax,dzmin,dmax,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id
E01548N3896E01854N3659-PS-Mur_PYes_Var-M774_E01663N3752_S000,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M774_E01663N3752_S000,0.27,2.0641374126116334e-07,0.005,0.004,1.769,16.63,37.52,37521663,17.0,0.005,1.0,5.57317101405141e-08,1.8674136321195144e-05,112.0,"37.367,16.452"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02136N3678_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M850_E02136N3678_S000,0.51,2.264337044339769e-07,0.002,0.002,2.205,21.36,36.78,36782136,77.0,0.002,1.0,1.1548118926132822e-07,1.8674136321195144e-05,264.0,"36.707,21.072"
E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02294N3487_S004,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02294N3487_S004,1.05,1.9283789848830362e-08,0.004,0.004,5.578,22.94,34.87,34862294,117.0,0.004,1.0,2.024797934127188e-08,1.8674136321195144e-05,574.0,"34.727,22.722"
E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02204N3672_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02204N3672_S000,0.1,2.705826270058217e-06,0.001,0.001,0.55,22.04,36.72,36722204,57.0,0.001,1.0,2.7058262700582174e-07,1.8674136321195144e-05,194.0,"36.707,21.732"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02121N3611_S005,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02121N3611_S005,0.78,1.9673021011441533e-08,0.004,0.002,3.593,21.21,36.11,36112121,70.0,0.004,1.0,1.5344956388924394e-08,1.8674136321195144e-05,417.0,"36.047,21.072"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02156N3574_S001,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02156N3574_S001,0.84,2.8179384452012565e-08,0.002,0.002,3.81,21.56,35.74,35742156,87.0,0.002,1.0,2.3670682939690555e-08,1.8674136321195144e-05,416.0,"35.717,21.402"
E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02201N3596_S005,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02201N3596_S005,1.02,9.987546537765906e-09,0.004,0.004,4.499,22.01,35.96,35962201,46.0,0.004,1.0,1.0187297468521224e-08,1.8674136321195144e-05,412.0,"35.717,21.732"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02162N3488_S003,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02162N3488_S003,0.99,2.254532484940286e-08,0.002,0.002,4.479,21.62,34.88,34882162,20.0,0.002,1.0,2.2319871600908833e-08,1.8674136321195144e-05,142.0,"34.727,21.402"
E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02394N3489_S001,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02394N3489_S001,0.76,1.0568004176435931e-08,0.005,0.004,3.395,23.94,34.89,34892394,16.0,0.005,1.0,8.031683174091307e-09,1.8674136321195144e-05,190.0,"34.727,23.712"
E01849N3766E02950N3220-PS-Str_PYes_Hom-M861_E02079N3631_S001,PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Hom-M861_E02079N3631_S001,0.66,8.145168393394898e-08,0.002,0.002,2.706,20.79,36.31,36312079,48.0,0.002,1.0,5.375811139640633e-08,1.8674136321195144e-05,232.0,"36.047,20.742"
