idx,eve_id,MIH,P05,P16,P50,P84,P95,Pmean
50335,E01849N3766E02950N3220-PS-Mur_PYes_Var-M809_E02072N3616_S000,0.25635147,0.0,0.0,7.423453796313807e-07,4.667017655237313e-06,4.724712659948431e-05,5.649579136780031e-06
50368,E01964N3926E02184N3685-PS-Mur_PNo_Hom-M792_E02061N3739_S000,0.17242813,1.317211937767516e-10,1.8850169229750862e-08,4.722479781043736e-06,2.304857146014455e-05,4.127140661519294e-05,1.1444664943587867e-05
50370,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M792_E02112N3663_S000,0.2471962,0.0,0.0,3.2568868842218138e-06,1.898445266729997e-05,3.150272662886913e-05,8.613562429852781e-06
50374,E02113N3823E02873N3483-PS-Str_PYes_Hom-M774_E02148N3750_S000,0.0579834,1.0050489478184894e-05,1.968855825726736e-05,4.862694834303538e-05,7.106110089243231e-05,0.00011558538863939986,5.17754233401795e-05
50402,E02020N3739E02658N3366-PS-Mur_PNo_Var-M792_E02191N3680_S000,0.0869751,2.2912065735309164e-08,2.9734754889028054e-06,1.2816044781259383e-05,4.74077385731445e-05,0.000106721310056235,2.8065976530158582e-05
50413,E02113N3823E02873N3483-PS-Str_PYes_Hom-M792_E02236N3646_S000,0.1312294,3.986358472791722e-06,6.245496329483083e-06,1.8082343071881864e-05,2.7582909845650157e-05,4.930688443270184e-05,2.0776945054988746e-05
50421,E01964N3926E02184N3685-PS-Mur_PYes_Hom-M732_E02066N3753_S000,0.051879883,1.2366030173155083e-05,2.968134349039161e-05,0.00014782966786095,0.00033279222880344,0.00045534050962811986,0.00017668388510932033
50422,E01964N3926E02184N3685-PS-Str_PYes_Hom-M754_E02040N3720_S000,0.10070801,0.0,0.0,2.117732699511533e-05,0.00011694348404698794,0.00022652005971439485,5.445734767910045e-05
50436,E02113N3823E02873N3483-PS-Str_PNo_Var-M809_E02318N3569_S000,0.13428116,4.7100482509599043e-07,4.4474566004524845e-06,1.457851808684667e-05,2.4272588952802452e-05,3.452358174079867e-05,1.5309554064465222e-05
50437,E02113N3823E02873N3483-PS-Str_PNo_Var-M792_E02317N3557_S000,0.105285645,5.816108371339808e-06,8.739801058683073e-06,2.5332321294867597e-05,3.976872165112908e-05,6.84715541573895e-05,2.9592002952130487e-05
