id	count	max	logsum	mean	sd	dzmin	dzmax
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M732_E01749N3728_S000	1150	1.192	5.642	0.244	0.178	0.001	0.001
PS_manning003/E02643N3661E02922N3454-PS-Str_PYes_Hom-M837_E02679N3489_S000	536	0.276	4.095	0.11	0.069	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02294N3487_S004	37292	7.027	10.714	1.206	0.869	0.013	0.013
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02226N3500_S004	24145	6.664	10.164	1.075	0.914	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02152N3603_S003	14264	5.538	9.473	0.911	0.768	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02076N3673_S000	3945	2.654	7.562	0.487	0.441	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PNo_Hom-M824_E02182N3695_S000	1551	0.74	5.864	0.226	0.168	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02109N3622_S005	9874	5.278	8.846	0.704	0.625	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02152N3603_S004	12476	4.437	9.244	0.829	0.681	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02370N3485_S003	25416	6.71	10.076	0.935	0.805	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02164N3590_S004	36421	9.776	10.872	1.446	1.45	0.007	0.007
PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Var-M850_E02422N3500_S000	4619	0.981	7.325	0.328	0.209	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02134N3641_S005	10840	4.069	9.02	0.762	0.655	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02156N3661_S005	13560	4.525	9.281	0.792	0.573	0.004	0.005
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M732_E01774N3873_S000	2307	1.802	6.746	0.368	0.301	0.001	0.001
PS_manning003/E01577N3897E01966N3571-PS-Str_PYes_Hom-M792_E01796N3749_S000	2586	1.805	6.914	0.389	0.335	0.001	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02121N3611_S003	15213	5.101	9.582	0.953	0.815	0.002	0.002
PS_manning003/E02113N3823E02873N3483-PS-Mur_PYes_Hom-M792_E02280N3610_S000	1127	0.473	5.177	0.156	0.115	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02434N3452_S001	15568	2.047	9.364	0.749	0.575	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02498N3423_S003	13347	1.977	9.235	0.768	0.531	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02184N3638_S004	27639	8.123	10.458	1.26	1.152	0.002	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02515N3431_S001	18515	2.239	9.537	0.749	0.59	0.005	0.005
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M871_E02344N3564_S003	13791	2.237	9.294	0.789	0.535	0.001	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02171N3606_S002	14538	5.099	9.491	0.911	0.806	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02337N3493_S004	29844	8.457	10.567	1.301	1.262	0.007	0.007
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02335N3468_S004	22941	5.36	9.956	0.918	0.754	0.005	0.005
PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Hom-M850_E02465N3496_S000	1915	1.095	6.232	0.265	0.212	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02288N3555_S004	14547	5.665	9.479	0.899	0.787	0.002	0.002
