eve_id,id,max_off,mean_prob,dzmax,dzmin,max,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id
E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02239N3505_S002,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02239N3505_S002,1.15,6.79772103384856e-09,0.007,0.005,5.475,22.39,35.05,35042239,111.0,0.007,1.0,7.817379188925843e-09,1.8674136321195144e-05,466.0,"34.727,22.062"
E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02226N3500_S005,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02226N3500_S005,1.82,6.759886832571417e-09,0.007,0.005,7.934,22.26,35.0,35002226,85.0,0.007,1.0,1.230299403527998e-08,1.8674136321195144e-05,466.0,"34.727,22.062"
E02113N3823E02873N3483-PS-Mur_PNo_Var-M861_E02276N3623_S003,PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Var-M861_E02276N3623_S003,0.59,2.153284368871779e-07,0.002,0.002,1.702,22.76,36.23,36222276,63.0,0.002,1.0,1.2704377776343495e-07,1.8674136321195144e-05,243.0,"36.047,22.722"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02257N3592_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02257N3592_S000,0.27,4.3995861023728333e-07,0.001,0.001,1.215,22.57,35.92,35922257,35.0,0.001,1.0,1.1878882476406651e-07,1.8674136321195144e-05,272.0,"35.717,22.392"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M809_E02129N3665_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M809_E02129N3665_S000,0.3,4.127775617768114e-07,0.001,0.001,1.186,21.29,36.65,36652129,73.0,0.001,1.0,1.238332685330434e-07,1.8674136321195144e-05,372.0,"36.377,21.072"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M792_E02213N3635_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M792_E02213N3635_S000,0.12,3.489120492723446e-06,0.001,0.001,0.44,22.13,36.35,36352213,34.0,0.001,1.0,4.186944591268135e-07,1.8674136321195144e-05,190.0,"36.047,22.062"
E02020N3739E02658N3366-PS-Str_PYes_Var-M824_E02235N3576_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M824_E02235N3576_S000,0.27,3.804294218948323e-07,0.001,0.001,2.052,22.35,35.76,35762235,48.0,0.001,1.0,1.0271594391160473e-07,1.8674136321195144e-05,373.0,"35.717,22.062"
E02020N3739E02658N3366-PS-Str_PYes_Var-M824_E02351N3465_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M824_E02351N3465_S000,0.26,3.3410558200603445e-07,0.001,0.001,1.208,23.51,34.65,34652351,124.0,0.001,1.0,8.686745132156897e-08,1.8674136321195144e-05,439.0,"34.397,23.382"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M824_E02159N3618_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M824_E02159N3618_S000,0.39,3.433308484158768e-07,0.001,0.001,2.191,21.59,36.18,36182159,96.0,0.001,1.0,1.3389903088219196e-07,1.8674136321195144e-05,372.0,"36.047,21.402"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M837_E02307N3549_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M837_E02307N3549_S000,0.36,1.4716900269979598e-07,0.001,0.001,2.196,23.07,35.49,35492307,17.0,0.001,1.0,5.298084097192655e-08,1.8674136321195144e-05,129.0,"35.387,23.052"
