id	count	max	logsum	mean	sd	dzmin	dzmax
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M809_E01770N3767_S000	18660	2.746	9.645	0.828	0.664	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02218N3525_S004	55775	4.61	10.84	0.915	0.862	0.005	0.007
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M824_E02510N3490_S000	2541	0.534	6.275	0.209	0.12	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M754_E01682N3667_S000	4751	1.032	7.42	0.351	0.233	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M837_E02250N3552_S000	7279	1.578	8.378	0.598	0.364	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02328N3482_S001	23007	3.836	9.998	0.955	0.823	0.008	0.008
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02155N3547_S000	7838	1.837	8.519	0.639	0.42	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01673N3781_S005	101865	5.286	11.614	1.087	0.955	0.062	0.077
PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Hom-M792_E02187N3749_S000	2412	0.635	6.124	0.189	0.111	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02144N3668_S000	10069	1.69	8.807	0.664	0.442	0.002	0.002
PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Hom-M809_E02053N3710_S000	5929	1.118	7.868	0.44	0.272	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M792_E01646N3818_S000	8547	1.635	8.449	0.546	0.382	0.007	0.01
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02351N3465_S004	21921	2.896	9.798	0.821	0.632	0.002	0.004
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M861_E02226N3659_S005	12408	2.237	9.104	0.725	0.502	0.002	0.004
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M871_E02072N3658_S002	107431	5.367	11.645	1.062	0.965	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02337N3493_S001	16478	2.623	9.432	0.757	0.598	0.002	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02106N3725_S000	6706	1.296	8.145	0.514	0.304	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02242N3492_S000	13228	1.958	9.137	0.703	0.49	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02375N3448_S001	67051	5.118	11.001	0.894	0.88	0.008	0.008
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M837_E01746N3766_S000	67697	5.142	11.017	0.9	0.886	0.021	0.027
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M809_E01714N3860_S000	7247	1.355	8.25	0.528	0.313	0.001	0.002
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M732_E01605N3720_S000	5632	1.166	7.746	0.41	0.259	0.001	0.002
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M824_E02064N3530_S000	11443	2.123	9.007	0.713	0.502	0.001	0.001
PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Var-M824_E02236N3646_S000	3746	0.752	7.005	0.294	0.17	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M792_E01760N3738_S000	11718	2.975	9.146	0.8	0.632	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02426N3465_S005	155628	8.148	11.959	1.003	0.923	0.01	0.01
PS_manning003/E01517N3917E01678N3772-PS-Str_PNo_Var-M774_E01585N3824_S000	4935	1.196	7.44	0.345	0.239	-0.001	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02344N3478_S002	31918	5.707	10.284	0.917	0.839	0.007	0.007
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M837_E01768N3805_S000	20991	2.909	9.85	0.903	0.666	0.01	0.013
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M824_E02214N3447_S000	5087	1.086	7.554	0.375	0.245	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02118N3568_S001	25186	4.021	10.117	0.983	0.833	0.002	0.002
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M837_E01828N3798_S000	31412	3.646	10.28	0.928	0.8	0.002	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02467N3448_S005	14850	2.402	9.346	0.771	0.567	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02461N3461_S002	10770	2.578	9.03	0.775	0.544	0.004	0.004
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01700N3744_S004	153680	6.918	12.052	1.116	1.013	0.05	0.062
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02359N3451_S003	39782	4.548	10.498	0.911	0.871	0.007	0.007
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02441N3439_S005	20173	2.912	9.778	0.874	0.685	0.007	0.007
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02311N3485_S002	56024	4.833	10.837	0.908	0.912	0.007	0.008
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02171N3606_S003	59493	4.995	10.898	0.909	0.912	0.005	0.005
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M732_E01749N3728_S000	5287	1.427	7.645	0.395	0.258	0.001	0.001
PS_manning003/E02643N3661E02922N3454-PS-Str_PYes_Hom-M837_E02679N3489_S000	1675	0.324	5.434	0.136	0.073	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02294N3487_S004	67733	5.094	11.015	0.898	0.889	0.013	0.013
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02226N3500_S004	25395	4.211	10.087	0.946	0.823	0.005	0.007
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02152N3603_S003	29716	4.009	10.211	0.916	0.812	0.002	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02076N3673_S000	8942	1.657	8.61	0.613	0.411	0.001	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PNo_Hom-M824_E02182N3695_S000	4962	0.827	7.44	0.343	0.209	0.001	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02109N3622_S005	21918	3.148	9.895	0.904	0.715	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02152N3603_S004	21689	3.73	9.858	0.881	0.721	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02370N3485_S003	41033	4.344	10.529	0.911	0.849	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02164N3590_S004	115135	7.481	11.656	1.002	0.954	0.007	0.007
PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Var-M850_E02422N3500_S000	5794	1.219	7.812	0.426	0.273	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02134N3641_S005	26923	3.494	10.12	0.922	0.786	0.002	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02156N3661_S005	44140	4.233	10.673	0.978	0.857	0.005	0.007
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M732_E01774N3873_S000	6175	1.23	7.991	0.478	0.312	0.001	0.001
PS_manning003/E01577N3897E01966N3571-PS-Str_PYes_Hom-M792_E01796N3749_S000	8284	1.766	8.524	0.608	0.402	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02121N3611_S003	28178	3.964	10.226	0.98	0.851	0.004	0.004
PS_manning003/E02113N3823E02873N3483-PS-Mur_PYes_Hom-M792_E02280N3610_S000	2687	0.664	6.327	0.208	0.122	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02434N3452_S001	13825	2.82	9.336	0.82	0.638	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02498N3423_S003	14062	2.646	9.303	0.78	0.606	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02184N3638_S004	59105	4.495	10.924	0.939	0.902	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02515N3431_S001	19313	2.96	9.685	0.832	0.634	0.005	0.005
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M871_E02344N3564_S003	24142	3.165	10.007	0.919	0.71	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02171N3606_S002	30284	3.808	10.241	0.926	0.802	0.005	0.007
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02337N3493_S004	63313	5.69	10.943	0.894	0.919	0.007	0.008
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02335N3468_S004	20130	3.172	9.782	0.88	0.724	0.005	0.005
PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Hom-M850_E02465N3496_S000	5239	0.96	7.586	0.376	0.231	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02288N3555_S004	19197	2.887	9.777	0.918	0.692	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02534N3432_S002	29610	3.883	10.227	0.933	0.789	0.01	0.01
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Hom-M871_E02095N3592_S003	47541	4.452	10.683	0.917	0.855	0.002	0.004
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M774_E02014N3634_S000	9423	1.771	8.598	0.575	0.386	0.001	0.001
PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Hom-M809_E02023N3703_S000	6713	1.381	8.064	0.473	0.307	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02120N3675_S005	37117	3.688	10.472	0.952	0.741	0.002	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02225N3486_S005	20369	4.411	9.838	0.92	0.784	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02139N3548_S003	21815	3.287	9.903	0.917	0.74	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02146N3630_S002	37219	4.618	10.481	0.957	0.911	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02330N3507_S000	7257	1.635	8.367	0.593	0.373	0.002	0.002
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M732_E01661N3771_S000	3258	0.741	6.622	0.23	0.162	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02441N3439_S004	42789	4.542	10.523	0.869	0.901	0.01	0.01
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M824_E01667N3857_S000	19953	2.651	9.72	0.834	0.584	0.011	0.013
PS_manning003/E01548N3896E01854N3659-PS-Mur_PNo_Hom-M754_E01622N3816_S000	3739	0.969	7.052	0.309	0.191	0.002	0.004
PS_manning003/E01577N3897E01966N3571-PS-Mur_PYes_Var-M824_E01729N3669_S000	58948	5.101	10.822	0.85	0.913	0.016	0.022
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02140N3655_S002	24420	2.963	9.99	0.893	0.71	0.004	0.005
PS_manning003/E02113N3823E02873N3483-PS-Mur_PYes_Hom-M824_E02227N3683_S000	4468	0.907	7.22	0.306	0.197	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02359N3515_S000	5546	1.036	7.712	0.403	0.245	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02146N3630_S004	19445	3.105	9.806	0.933	0.682	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02337N3493_S004	13907	2.356	9.22	0.726	0.534	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02290N3438_S000	9120	1.727	8.595	0.592	0.409	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02235N3576_S005	20694	3.235	9.816	0.886	0.734	0.002	0.002
PS_manning003/E01964N3926E02184N3685-PS-Str_PNo_Var-M792_E02105N3765_S000	3110	0.74	6.638	0.245	0.154	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PNo_Hom-M754_E02127N3724_S000	2113	0.549	5.883	0.169	0.099	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M809_E01645N3675_S000	22913	3.212	9.942	0.907	0.783	0.005	0.014
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02498N3438_S003	96209	5.702	11.384	0.914	0.874	0.008	0.008
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02417N3454_S003	7656	1.747	8.461	0.618	0.394	0.004	0.004
PS_manning003/E01517N3917E01678N3772-PS-Mur_PYes_Hom-M754_E01574N3813_S000	6043	1.3	7.858	0.428	0.283	-0.005	0.001
PS_manning003/E01849N3766E02950N3220-PS-Mur_PYes_Var-M837_E02047N3601_S000	15165	2.386	9.334	0.746	0.551	0.001	0.001
PS_manning003/E01517N3917E01678N3772-PS-Str_PNo_Hom-M732_E01562N3822_S000	4246	1.051	7.19	0.312	0.213	-0.004	0.001
PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Hom-M824_E02236N3646_S000	4334	0.858	7.265	0.33	0.197	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02545N3421_S005	9912	2.104	8.876	0.722	0.47	0.001	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02260N3491_S000	12261	1.882	9.039	0.687	0.47	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PNo_Var-M809_E02193N3666_S000	3445	0.781	6.776	0.254	0.177	0.001	0.001
