eve_id,id,max_off,mean_prob,dzmax,dzmin,max,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id
E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02194N3513_S001,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02194N3513_S001,1.02,2.491999967529701e-08,0.002,0.002,4.641,21.94,35.13,35132194,92.0,0.002,1.0,2.5418399668802952e-08,1.8674136321195144e-05,519.0,"35.057,21.732"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02253N3481_S001,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02253N3481_S001,1.02,6.736314108860442e-09,0.007,0.005,5.032,22.53,34.81,34812253,92.0,0.007,1.0,6.871040391037651e-09,1.8674136321195144e-05,523.0,"34.727,22.392"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M824_E02133N3599_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M824_E02133N3599_S000,0.29,2.734625901836169e-07,0.001,0.001,1.605,21.33,35.99,35992133,101.0,0.001,1.0,7.930415115324889e-08,1.8674136321195144e-05,270.0,"35.717,21.072"
E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02301N3474_S003,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02301N3474_S003,1.69,6.968529399705044e-09,0.005,0.005,7.231,23.01,34.74,34742301,105.0,0.005,1.0,1.1776814685501523e-08,1.8674136321195144e-05,574.0,"34.727,22.722"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02171N3606_S004,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02171N3606_S004,0.92,7.154735753028353e-09,0.007,0.005,3.302,21.71,36.06,36062171,104.0,0.007,1.0,6.582356892786085e-09,1.8674136321195144e-05,372.0,"36.047,21.402"
E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02314N3423_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02314N3423_S000,0.19,4.147815812719173e-07,0.001,0.001,1.141,23.14,34.23,34222314,15.0,0.001,1.0,7.880850044166429e-08,1.8674136321195144e-05,68.0,"34.067,23.052"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02467N3425_S005,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02467N3425_S005,0.38,2.011647266079307e-08,0.004,0.004,1.388,24.67,34.25,34252467,62.0,0.004,1.0,7.644259611101367e-09,1.8674136321195144e-05,288.0,"34.067,24.372"
E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02142N3694_S002,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02142N3694_S002,1.63,3.3878500694116985e-08,0.001,0.001,5.575,21.42,36.94,36942142,56.0,0.001,1.0,5.5221956131410686e-08,1.8674136321195144e-05,205.0,"36.707,21.402"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M754_E02204N3672_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M754_E02204N3672_S000,0.06,8.46493233611011e-06,0.001,0.001,0.305,22.04,36.72,36722204,57.0,0.001,1.0,5.078959401666066e-07,1.8674136321195144e-05,194.0,"36.707,21.732"
E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02229N3514_S004,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02229N3514_S004,1.04,6.856568140512544e-09,0.005,0.005,4.401,22.29,35.14,35142229,121.0,0.005,1.0,7.130830866133046e-09,1.8674136321195144e-05,720.0,"35.057,22.062"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02171N3544_S005,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02171N3544_S005,1.19,3.1203146221239093e-09,0.005,0.005,5.291,21.71,35.44,35442171,68.0,0.005,1.0,3.713174400327452e-09,1.8674136321195144e-05,304.0,"35.387,21.402"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02386N3481_S001,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02386N3481_S001,1.57,6.135352819681568e-08,0.013,0.013,8.427,23.86,34.81,34812386,49.0,0.013,1.0,9.632503926900062e-08,1.8674136321195144e-05,190.0,"34.727,23.712"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M824_E02247N3453_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M824_E02247N3453_S000,0.33,1.508256727930517e-07,0.001,0.001,1.1,22.47,34.53,34532247,40.0,0.001,1.0,4.977247202170706e-08,1.8674136321195144e-05,230.0,"34.397,22.392"
E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02225N3486_S004,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02225N3486_S004,1.12,3.045808333611068e-09,0.007,0.007,4.852,22.25,34.86,34862225,71.0,0.007,1.0,3.411305333644397e-09,1.8674136321195144e-05,466.0,"34.727,22.062"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02528N3419_S001,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02528N3419_S001,0.74,1.3295559923794349e-08,0.007,0.007,3.212,25.28,34.19,34192528,21.0,0.007,1.0,9.838714343607818e-09,1.8674136321195144e-05,137.0,"34.067,25.032"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02253N3503_S002,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02253N3503_S002,1.69,2.7867703122037112e-08,0.008,0.007,6.13,22.53,35.03,35032253,124.0,0.008,1.0,4.709641827624272e-08,1.8674136321195144e-05,523.0,"34.727,22.392"
E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02140N3614_S005,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02140N3614_S005,1.32,1.3542950692641289e-08,0.007,0.007,6.01,21.4,36.14,36142140,89.0,0.007,1.0,1.7876694914286503e-08,1.8674136321195144e-05,417.0,"36.047,21.072"
E02113N3823E02873N3483-PS-Mur_PNo_Hom-M871_E02335N3587_S003,PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Hom-M871_E02335N3587_S003,1.01,1.6936023193034999e-07,0.005,0.005,2.3,23.35,35.87,35862335,56.0,0.005,1.0,1.7105383424965348e-07,1.8674136321195144e-05,387.0,"35.717,23.052"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02401N3455_S005,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02401N3455_S005,0.63,2.0139266300333324e-08,0.004,0.004,2.613,24.01,34.55,34542401,111.0,0.004,1.0,1.2687737769209993e-08,1.8674136321195144e-05,596.0,"34.397,23.712"
E01849N3766E02950N3220-PS-Str_PYes_Var-M792_E02103N3539_S000,PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M792_E02103N3539_S000,0.2,1.5329449321122366e-07,0.001,0.001,1.03,21.03,35.39,35392103,19.0,0.001,1.0,3.065889864224474e-08,1.8674136321195144e-05,75.0,"35.387,20.742"
E02020N3739E02658N3366-PS-Str_PYes_Var-M809_E02152N3603_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M809_E02152N3603_S000,0.25,3.070124845873979e-07,0.001,0.001,1.442,21.52,36.03,36032152,89.0,0.001,1.0,7.675312114684948e-08,1.8674136321195144e-05,416.0,"35.717,21.402"
E02020N3739E02658N3366-PS-Str_PYes_Hom-M837_E02304N3498_S000,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M837_E02304N3498_S000,0.33,1.2667614952044396e-07,0.001,0.001,1.405,23.04,34.98,34972304,117.0,0.001,1.0,4.180312934174651e-08,1.8674136321195144e-05,574.0,"34.727,22.722"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02236N3526_S004,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02236N3526_S004,1.52,2.80775489829692e-08,0.008,0.008,5.686,22.36,35.26,35262236,131.0,0.008,1.0,4.267787445411318e-08,1.8674136321195144e-05,720.0,"35.057,22.062"
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02282N3451_S005,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02282N3451_S005,0.69,2.7316826780032042e-08,0.002,0.002,2.781,22.82,34.51,34512282,46.0,0.002,1.0,1.8848610478222107e-08,1.8674136321195144e-05,200.0,"34.397,22.722"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M837_E02227N3438_S000,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M837_E02227N3438_S000,0.57,6.100139249065147e-08,0.001,0.001,2.104,22.27,34.38,34382227,18.0,0.001,1.0,3.477079371967134e-08,1.8674136321195144e-05,18.0,"34.067,22.062"
E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02164N3590_S005,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02164N3590_S005,0.67,2.9316071931663393e-08,0.004,0.002,3.309,21.64,35.9,35902164,108.0,0.004,1.0,1.9641768194214474e-08,1.8674136321195144e-05,416.0,"35.717,21.402"
E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02202N3553_S002,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02202N3553_S002,1.46,2.8452518303084564e-08,0.008,0.007,6.177,22.02,35.53,35532202,121.0,0.008,1.0,4.1540676722503464e-08,1.8674136321195144e-05,484.0,"35.387,21.732"
