id	count	dmax	logsum	mean	sd	dzmin	dzmax	hmax
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01673N3781_S005	26667	5.415	10.218	1.028	0.844	0.043	0.05	6.821
PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Hom-M792_E02187N3749_S000	529	0.245	4.059	0.108	0.064	0.001	0.001	0.256
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02144N3668_S000	4912	2.834	7.691	0.445	0.436	0.001	0.001	3.449
PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Hom-M809_E02053N3710_S000	2027	0.823	6.235	0.251	0.19	0.001	0.001	0.929
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M792_E01646N3818_S000	1778	0.762	5.957	0.217	0.165	0.004	0.005	0.809
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02351N3465_S004	12494	2.366	9.18	0.776	0.492	0.002	0.004	2.786
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M861_E02226N3659_S005	6874	1.734	8.099	0.479	0.301	0.002	0.002	1.921
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M871_E02072N3658_S002	17557	4.691	9.628	0.864	0.678	0.001	0.001	5.251
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02337N3493_S001	18807	2.241	9.57	0.762	0.597	0.002	0.004	2.444
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02106N3725_S000	2250	1.274	6.376	0.261	0.212	0.001	0.001	1.386
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02242N3492_S000	8061	3.256	8.43	0.568	0.469	0.001	0.001	4.019
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02375N3448_S001	31322	4.99	10.303	0.952	0.722	0.008	0.008	6.409
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M837_E01746N3766_S000	18152	4.385	9.706	0.904	0.664	0.014	0.018	4.956
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M809_E01714N3860_S000	2369	1.353	6.566	0.299	0.257	0.001	0.002	1.436
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M732_E01605N3720_S000	2006	1.47	6.461	0.319	0.265	0.001	0.001	1.546
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M824_E02064N3530_S000	6871	3.825	8.135	0.496	0.483	0.001	0.001	5.225
PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Var-M824_E02236N3646_S000	1885	0.815	6.054	0.225	0.176	0.001	0.001	0.938
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M792_E01760N3738_S000	5730	2.669	7.869	0.456	0.436	0.004	0.004	2.823
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02426N3465_S005	45733	10.483	11.157	1.532	1.501	0.01	0.01	12.099
PS_manning003/E01517N3917E01678N3772-PS-Str_PNo_Var-M774_E01585N3824_S000	647	0.31	4.344	0.118	0.074	0.001	0.001	0.322
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02344N3478_S002	24189	7.493	10.258	1.178	1.009	0.007	0.007	8.592
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M837_E01768N3805_S000	8417	2.888	8.405	0.531	0.447	0.008	0.01	3.032
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M824_E02214N3447_S000	3081	2.261	7.242	0.453	0.394	0.001	0.001	2.583
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02118N3568_S001	14880	5.377	9.576	0.969	0.857	0.002	0.002	5.974
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M837_E01828N3798_S000	11002	3.411	8.903	0.668	0.549	0.004	0.005	3.624
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02467N3448_S005	12595	1.885	9.153	0.75	0.509	0.005	0.005	2.087
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02461N3461_S002	9485	1.633	8.81	0.706	0.427	0.004	0.004	1.799
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01700N3744_S004	31841	5.981	10.477	1.114	0.892	0.039	0.043	6.957
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02359N3451_S003	28800	5.104	10.162	0.899	0.736	0.007	0.007	6.465
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02441N3439_S005	13679	3.102	9.293	0.794	0.527	0.007	0.007	3.362
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02311N3485_S002	33448	6.906	10.517	1.104	0.939	0.007	0.008	7.761
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02171N3606_S003	26769	8.333	10.469	1.315	1.203	0.004	0.004	9.375
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M732_E01749N3728_S000	1150	1.193	5.645	0.245	0.178	0.001	0.001	1.366
PS_manning003/E02643N3661E02922N3454-PS-Str_PYes_Hom-M837_E02679N3489_S000	536	0.277	4.102	0.111	0.069	0.001	0.001	0.29
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02294N3487_S004	37443	7.028	10.724	1.214	0.874	0.013	0.013	7.387
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02226N3500_S004	24210	6.665	10.171	1.079	0.916	0.005	0.005	7.333
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02152N3603_S003	14288	5.539	9.478	0.914	0.771	0.002	0.002	6.575
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02076N3673_S000	3945	2.655	7.563	0.488	0.441	0.001	0.001	3.326
PS_manning003/E02020N3739E02658N3366-PS-Str_PNo_Hom-M824_E02182N3695_S000	1551	0.74	5.867	0.227	0.168	0.001	0.001	0.809
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02109N3622_S005	9898	5.279	8.853	0.706	0.627	0.002	0.002	6.86
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02152N3603_S004	12500	4.438	9.249	0.832	0.684	0.002	0.002	5.101
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02370N3485_S003	25481	6.711	10.083	0.939	0.807	0.005	0.005	7.677
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02164N3590_S004	36501	9.776	10.877	1.45	1.451	0.007	0.007	11.218
PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Var-M850_E02422N3500_S000	4643	0.982	7.337	0.331	0.21	0.002	0.002	1.012
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02134N3641_S005	10864	4.07	9.026	0.765	0.658	0.002	0.002	4.501
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02156N3661_S005	13625	4.526	9.292	0.796	0.576	0.004	0.005	6.065
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M732_E01774N3873_S000	2307	1.803	6.748	0.369	0.301	0.001	0.001	1.872
PS_manning003/E01577N3897E01966N3571-PS-Str_PYes_Hom-M792_E01796N3749_S000	2592	1.806	6.92	0.39	0.335	0.001	0.002	1.973
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02121N3611_S003	15237	5.101	9.586	0.956	0.817	0.002	0.002	5.838
PS_manning003/E02113N3823E02873N3483-PS-Mur_PYes_Hom-M792_E02280N3610_S000	1127	0.473	5.182	0.157	0.115	0.001	0.001	0.517
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02434N3452_S001	15616	2.048	9.372	0.753	0.576	0.004	0.004	2.251
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02498N3423_S003	13410	1.978	9.245	0.772	0.533	0.005	0.005	2.063
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02184N3638_S004	27664	8.124	10.461	1.262	1.153	0.002	0.004	9.265
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02515N3431_S001	18577	2.24	9.546	0.753	0.592	0.005	0.005	2.329
PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Var-M871_E02344N3564_S003	13794	2.238	9.296	0.79	0.535	0.001	0.002	2.374
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02171N3606_S002	14603	5.099	9.5	0.914	0.808	0.005	0.005	5.867
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02337N3493_S004	29924	8.458	10.573	1.306	1.264	0.007	0.007	9.564
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02335N3468_S004	23006	5.36	9.963	0.922	0.756	0.005	0.005	6.748
PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Hom-M850_E02465N3496_S000	1938	1.096	6.253	0.268	0.213	0.002	0.002	1.279
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02288N3555_S004	14571	5.666	9.483	0.901	0.788	0.002	0.002	6.928
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02534N3432_S002	22859	3.515	9.833	0.815	0.638	0.01	0.01	3.861
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Hom-M871_E02095N3592_S003	14035	5.014	9.363	0.83	0.698	0.002	0.002	5.455
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M774_E02014N3634_S000	3519	3.198	7.521	0.525	0.498	0.001	0.001	3.734
PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Hom-M809_E02023N3703_S000	1653	1.036	6.11	0.272	0.206	0.001	0.001	1.239
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02120N3675_S005	9097	3.934	8.715	0.67	0.594	0.002	0.002	4.292
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02225N3486_S005	18217	7.188	10.009	1.22	1.061	0.004	0.004	8.197
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02139N3548_S003	13106	4.325	9.311	0.844	0.683	0.002	0.002	5.126
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M871_E02146N3630_S002	19642	7.134	10.121	1.265	1.095	0.004	0.004	8.347
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02330N3507_S000	6964	3.632	8.241	0.545	0.532	0.002	0.002	4.338
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M732_E01661N3771_S000	783	0.49	4.796	0.153	0.1	0.001	0.001	0.514
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02441N3439_S004	25640	7.095	10.263	1.118	0.968	0.01	0.01	8.606
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M824_E01667N3857_S000	5336	1.318	7.502	0.339	0.252	0.007	0.008	1.382
PS_manning003/E01548N3896E01854N3659-PS-Mur_PNo_Hom-M754_E01622N3816_S000	594	0.299	4.243	0.116	0.069	0.001	0.002	0.31
PS_manning003/E01577N3897E01966N3571-PS-Mur_PYes_Var-M824_E01729N3669_S000	17693	4.629	9.758	0.977	0.737	0.008	0.013	5.429
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M871_E02140N3655_S002	9995	3.34	8.792	0.659	0.505	0.004	0.004	4.407
PS_manning003/E02113N3823E02873N3483-PS-Mur_PYes_Hom-M824_E02227N3683_S000	1817	0.633	5.923	0.205	0.156	0.001	0.001	0.705
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02359N3515_S000	4193	1.335	7.128	0.297	0.233	0.001	0.001	1.447
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02146N3630_S004	9396	3.005	8.713	0.647	0.52	0.002	0.002	3.536
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02337N3493_S004	13730	2.182	9.264	0.769	0.529	0.002	0.002	2.409
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02290N3438_S000	5493	1.386	7.635	0.376	0.243	0.001	0.001	1.451
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02235N3576_S005	15018	5.716	9.564	0.948	0.784	0.002	0.002	6.7
PS_manning003/E01964N3926E02184N3685-PS-Str_PNo_Var-M792_E02105N3765_S000	997	0.403	4.959	0.142	0.102	0.001	0.001	0.438
PS_manning003/E02020N3739E02658N3366-PS-Str_PNo_Hom-M754_E02127N3724_S000	583	0.255	4.132	0.105	0.067	0.001	0.001	0.267
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M809_E01645N3675_S000	13911	5.228	9.335	0.814	0.681	-0.005	0.001	5.753
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02498N3438_S003	34323	6.162	10.485	1.043	0.754	0.008	0.01	7.179
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02417N3454_S003	9470	1.635	8.794	0.696	0.429	0.004	0.004	1.787
PS_manning003/E01517N3917E01678N3772-PS-Mur_PYes_Hom-M754_E01574N3813_S000	759	0.339	4.624	0.133	0.084	0.001	0.001	0.351
PS_manning003/E01849N3766E02950N3220-PS-Mur_PYes_Var-M837_E02047N3601_S000	5167	2.533	7.685	0.421	0.407	0.001	0.001	3.357
