,Train_size,Depth,Site,True,Pred,Bias,Pred_low,Pred_high,Sigma
15,529,2.5,4,1.7544427594776545e-05,2.4644658897316248e-05,7.100231302539703e-06,5.477353488937251e-05,9.286845859790257e-06,1.1371672257395564e-05
16,529,2.5,5,0.0001627210058078646,0.00020153343869404964,3.8812432886185035e-05,0.00031552326218826395,0.00010672857805477672,5.21986710333718e-05
17,529,2.5,6,4.980955713710995e-06,5.620222038190491e-06,6.392663244794954e-07,8.649907375064884e-06,2.997321497077037e-06,1.4131464694969618e-06
18,529,2.5,7,2.0570886881830543e-05,2.4083392088358945e-05,3.5125052065284023e-06,5.031370379207406e-05,1.2268385341112858e-05,9.511329612740301e-06
19,529,2.5,8,9.768929627346277e-07,8.317455673175713e-07,-1.4514739541705634e-07,2.499218918305799e-06,3.664790208193596e-07,5.331849743716099e-07
20,529,2.5,9,1.4935754808249986e-05,1.4581736139650256e-05,-3.5401866859973054e-07,3.3787318675045635e-05,6.116031240936642e-06,6.917821858527248e-06
21,529,2.5,10,1.585005364599623e-06,1.8543140665650686e-06,2.6930870196544563e-07,5.115274001106665e-06,8.199777992515291e-07,1.073824050463784e-06
22,529,2.5,11,8.031347903566456e-07,7.959188620095266e-07,-7.215928347119058e-09,1.5685898303663052e-06,2.439368651101862e-07,3.3116324131402975e-07
23,529,2.5,12,2.2698084423608207e-08,1e-11,-2.2688084423608206e-08,1.9740432734630797e-08,1e-11,4.932608183657699e-09
24,892,2.5,1,9.790820556949785e-06,1.6314944749598787e-05,6.524124192649002e-06,2.956037063301173e-05,6.458088342955095e-06,5.775570572514159e-06
25,892,2.5,2,6.9633672609836665e-06,1.0048124989706903e-05,3.084757728723236e-06,2.221924670234939e-05,5.575719633460071e-06,4.16088176722233e-06
26,892,2.5,3,1.6397590145028309e-06,2.9483291065921198e-06,1.308570092089289e-06,5.188842113946067e-06,1.3683991765477771e-06,9.551107343495726e-07
27,892,2.5,4,1.7544427594776545e-05,2.44769713827929e-05,6.932543788016353e-06,4.424730514296078e-05,1.2973266223006657e-05,7.81850972998853e-06
28,892,2.5,5,0.0001627210058078646,0.0001949425250776829,3.222151926981828e-05,0.0003154098789114943,0.00010412684344175398,5.2820758867435084e-05
29,892,2.5,6,4.980955713710995e-06,6.2266904653687275e-06,1.2457347516577323e-06,1.0262407935252505e-05,3.301618491849989e-06,1.740197360850629e-06
30,892,2.5,7,2.0570886881830543e-05,2.478488217968845e-05,4.213995297857906e-06,4.597580299144145e-05,1.236859258437012e-05,8.401802601767834e-06
31,892,2.5,8,9.768929627346277e-07,9.4786664014471e-07,-2.902632258991762e-08,2.6802181389070674e-06,4.1588485101903443e-07,5.660833219720082e-07
32,892,2.5,9,1.4935754808249986e-05,1.5364625723933822e-05,4.2887091568383584e-07,3.413690182519252e-05,7.013448034819493e-06,6.780863447593257e-06
33,892,2.5,10,1.585005364599623e-06,2.8675499704246916e-06,1.2825446058250687e-06,5.68200472938344e-06,1.0696397704263667e-06,1.1530912397392682e-06
34,892,2.5,11,8.031347903566456e-07,9.554089505157061e-07,1.5227416015906048e-07,1.6003375396090561e-06,3.9806713800182563e-07,3.0056760040180763e-07
35,892,2.5,12,2.2698084423608207e-08,7.83038287666727e-10,-2.1915046135941482e-08,6.121777726585074e-08,1e-11,1.5301944316462685e-08
36,1658,2.5,1,9.790820556949785e-06,1.200920570290758e-05,2.218385145957795e-06,2.1997220388091253e-05,6.345120208718189e-06,3.913025044843266e-06
37,1658,2.5,2,6.9633672609836665e-06,1.0634822246885142e-05,3.671454985901476e-06,1.753241105267522e-05,6.691242564129754e-06,2.7102921221363665e-06
38,1658,2.5,3,1.6397590145028309e-06,2.1101469886849673e-06,4.703879741821364e-07,3.6985900051566156e-06,1.3860029960024907e-06,5.781467522885312e-07
39,1658,2.5,4,1.7544427594776545e-05,2.3443248543862045e-05,5.898820949085499e-06,4.056777619856671e-05,1.2825618421929517e-05,6.935539444159298e-06
40,1658,2.5,5,0.0001627210058078646,0.00019725738738274386,3.453638157487925e-05,0.00032328110796254735,0.00011479488362409663,5.212155608461268e-05
41,1658,2.5,6,4.980955713710995e-06,6.584340931861153e-06,1.603385218150158e-06,1.0745709078286865e-05,3.5243008494635852e-06,1.8053520572058198e-06
42,1658,2.5,7,2.0570886881830543e-05,2.7639479222474543e-05,7.068592340644e-06,4.1795168465104316e-05,1.4746218982422262e-05,6.762237370670514e-06
43,1658,2.5,8,9.768929627346277e-07,1.0083563703363433e-06,3.146340760171565e-08,1.5995147744473258e-06,4.960433787552399e-07,2.7586784892302146e-07
44,1658,2.5,9,1.4935754808249986e-05,1.6073852857213508e-05,1.1380980489635219e-06,3.148505428638122e-05,9.89198750029661e-06,5.398266696521152e-06
45,1658,2.5,10,1.585005364599623e-06,2.9117655482922393e-06,1.3267601836926163e-06,5.587723958252985e-06,1.2630520123985976e-06,1.0811679864635968e-06
46,1658,2.5,11,8.031347903566456e-07,8.051615457285662e-07,2.0267553719205273e-09,1.383698407139243e-06,3.9189028916210685e-07,2.47952029494284e-07
47,1658,2.5,12,2.2698084423608207e-08,1.58052431728897e-09,-2.1117560106319238e-08,6.747399476847425e-08,1e-11,1.6865998692118562e-08
48,3454,2.5,1,9.790820556949785e-06,1.3445172955693383e-05,3.654352398743598e-06,1.883989812916931e-05,6.71971664580265e-06,3.030045370841665e-06
49,3454,2.5,2,6.9633672609836665e-06,9.665733574061899e-06,2.7023663130782326e-06,1.4420456514182211e-05,5.1650250774433564e-06,2.313857859184714e-06
50,3454,2.5,3,1.6397590145028309e-06,2.0839064601740507e-06,4.441474456712198e-07,3.6033846930240756e-06,1.4357281634499929e-06,5.419141323935207e-07
51,3454,2.5,4,1.7544427594776545e-05,1.97292010351458e-05,2.184773440369254e-06,3.421598234351459e-05,1.1312739193865231e-05,5.725810787412339e-06
52,3454,2.5,5,0.0001627210058078646,0.00019907369658769738,3.635269077983277e-05,0.000297506564657579,0.00012522627689568795,4.3070071940472764e-05
53,3454,2.5,6,4.980955713710995e-06,5.1783202804512305e-06,1.9736456674023523e-07,8.956802819448089e-06,2.9022692383259863e-06,1.5136333952805256e-06
54,3454,2.5,7,2.0570886881830543e-05,2.2866697122101928e-05,2.295810240271385e-06,3.649225359111062e-05,1.4224600057104377e-05,5.5669133835015595e-06
55,3454,2.5,8,9.768929627346277e-07,1.0168429050790983e-06,3.9949942344470656e-08,1.5780349244140789e-06,5.773474037009855e-07,2.5017188017827334e-07
56,3454,2.5,9,1.4935754808249986e-05,1.5619360149713946e-05,6.836053414639601e-07,2.72380251091313e-05,9.06331775611815e-06,4.543676838253288e-06
57,3454,2.5,10,1.585005364599623e-06,1.9356164101614485e-06,3.5061104556182554e-07,3.98372880511471e-06,1.3292001618205498e-06,6.636321608235401e-07
58,3454,2.5,11,8.031347903566456e-07,8.605630665316585e-07,5.7428276175012834e-08,1.3493028901686701e-06,4.422266251032235e-07,2.2676906626636165e-07
59,3454,2.5,12,2.2698084423608207e-08,1.4430722006120745e-08,-8.267362417487462e-09,9.862507808476127e-08,1e-11,2.4653769521190317e-08
60,7071,2.5,1,9.790820556949785e-06,1.111739466244123e-05,1.3265741054914457e-06,1.8536911640013537e-05,6.5954301633932425e-06,2.9853703691550738e-06
61,7071,2.5,2,6.9633672609836665e-06,9.632893141204888e-06,2.6695258802212216e-06,1.4514864281674099e-05,5.31577493395751e-06,2.299772336929147e-06
62,7071,2.5,3,1.6397590145028309e-06,2.06669925048834e-06,4.269402359855091e-07,3.500860669383979e-06,1.429552880200105e-06,5.178269472959685e-07
63,7071,2.5,4,1.7544427594776545e-05,2.2442490575377917e-05,4.898062980601372e-06,3.482262426371851e-05,1.2259521844670966e-05,5.640775604761886e-06
64,7071,2.5,5,0.0001627210058078646,0.0002002636107171182,3.75426049092536e-05,0.00029441576664722565,0.00013476209338019886,3.99134183167567e-05
65,7071,2.5,6,4.980955713710995e-06,5.100918667512883e-06,1.199629538018881e-07,8.563256319785613e-06,3.6627815275528604e-06,1.2251186980581882e-06
66,7071,2.5,7,2.0570886881830543e-05,2.5130738945695837e-05,4.559852063865294e-06,3.8105731919334014e-05,1.472193939402885e-05,5.845948131326291e-06
67,7071,2.5,8,9.768929627346277e-07,1.0172971428339327e-06,4.040418009930507e-08,1.4758104754777807e-06,4.994002097167215e-07,2.4410256644026476e-07
68,7071,2.5,9,1.4935754808249986e-05,1.5002595344315558e-05,6.68405360655718e-08,2.6568718135872946e-05,1.0011438912176282e-05,4.139319805924166e-06
69,7071,2.5,10,1.585005364599623e-06,1.6394164856872136e-06,5.441112108759068e-08,3.815317859698654e-06,1.3055652674048874e-06,6.274381480734417e-07
70,7071,2.5,11,8.031347903566456e-07,8.483799882618339e-07,4.5245197905188276e-08,1.3195151542319692e-06,4.949514733726889e-07,2.061409202148201e-07
71,7071,2.5,12,2.2698084423608207e-08,1.581368078374863e-08,-6.8844036398595774e-09,6.737139672818236e-08,1e-11,1.684034918204559e-08
