ID	Source_Region	Type	Mag	lon	lat	SlipModel	Scaling	RuptureModel	Rigidity	Depth	Strike	Dip	Rake	Length	Area	Slip	Location	LocationCount
E02020N3739E02658N3366-PS-Str_PNo_Hom-M861_E02207N3659_S003	E02020N3739E02658N3366	PS	8.61	22.07	36.59	S003	Str	PNo	Hom								36592207	43.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02218N3646_S001	E02020N3739E02658N3366	PS	8.61	22.18	36.46	S001	Str	PYes	Hom								36462218	42.0
E01964N3926E02184N3685-PS-Str_PYes_Var-M850_E02071N3714_S000	E01964N3926E02184N3685	PS	8.5	20.71	37.14	S000	Str	PYes	Var								37142071	6.0
E01548N3896E01854N3659-PS-Str_PYes_Var-M809_E01622N3816_S000	E01548N3896E01854N3659	PS	8.09	16.22	38.16	S000	Str	PYes	Var								38151622	28.0
E01517N3917E01678N3772-PS-Str_PNo_Hom-M754_E01587N3805_S000	E01517N3917E01678N3772	PS	7.54	15.87	38.05	S000	Str	PNo	Hom								38041587	32.0
E01517N3917E01678N3772-PS-Mur_PYes_Var-M792_E01609N3825_S000	E01517N3917E01678N3772	PS	7.92	16.09	38.25	S000	Mur	PYes	Var								38251609	26.0
E01517N3917E01678N3772-PS-Str_PYes_Hom-M754_E01575N3795_S000	E01517N3917E01678N3772	PS	7.54	15.75	37.95	S000	Str	PYes	Hom								37951575	30.0
E02113N3823E02873N3483-PS-Mur_PNo_Hom-M861_E02226N3659_S003	E02113N3823E02873N3483	PS	8.61	22.26	36.59	S003	Mur	PNo	Hom								36592226	68.0
E01517N3917E01678N3772-PS-Str_PNo_Var-M792_E01598N3815_S000	E01517N3917E01678N3772	PS	7.92	15.98	38.15	S000	Str	PNo	Var								38151598	28.0
E01517N3917E01678N3772-PS-Str_PNo_Hom-M754_E01563N3803_S000	E01517N3917E01678N3772	PS	7.54	15.63	38.03	S000	Str	PNo	Hom								38031563	16.0
E01517N3917E01678N3772-PS-Str_PYes_Var-M792_E01587N3805_S000	E01517N3917E01678N3772	PS	7.92	15.87	38.05	S000	Str	PYes	Var								38041587	32.0
E01517N3917E01678N3772-PS-Str_PYes_Hom-M774_E01574N3813_S000	E01517N3917E01678N3772	PS	7.74	15.74	38.13	S000	Str	PYes	Hom								38131574	20.0
E01964N3926E02184N3685-PS-Str_PYes_Hom-M850_E02071N3714_S000	E01964N3926E02184N3685	PS	8.5	20.71	37.14	S000	Str	PYes	Hom								37142071	6.0
E01517N3917E01678N3772-PS-Mur_PYes_Hom-M774_E01574N3813_S000	E01517N3917E01678N3772	PS	7.74	15.74	38.13	S000	Mur	PYes	Hom								38131574	20.0
E01964N3926E02184N3685-PS-Str_PYes_Var-M861_E02067N3699_S002	E01964N3926E02184N3685	PS	8.61	20.67	36.99	S002	Str	PYes	Var								36992067	45.0
E02020N3739E02658N3366-PS-Str_PNo_Hom-M861_E02193N3666_S004	E02020N3739E02658N3366	PS	8.61	21.93	36.66	S004	Str	PNo	Hom								36652193	52.0
E01517N3917E01678N3772-PS-Mur_PNo_Hom-M774_E01587N3805_S000	E01517N3917E01678N3772	PS	7.74	15.87	38.05	S000	Mur	PNo	Hom								38041587	32.0
E01548N3896E01854N3659-PS-Str_PNo_Var-M809_E01622N3816_S000	E01548N3896E01854N3659	PS	8.09	16.22	38.16	S000	Str	PNo	Var								38151622	28.0
E01517N3917E01678N3772-PS-Mur_PYes_Var-M809_E01632N3846_S000	E01517N3917E01678N3772	PS	8.09	16.32	38.46	S000	Mur	PYes	Var								38461632	15.0
E02113N3823E02873N3483-PS-Str_PYes_Hom-M861_E02340N3543_S005	E02113N3823E02873N3483	PS	8.61	23.4	35.43	S005	Str	PYes	Hom								35432340	44.0
E02020N3739E02658N3366-PS-Str_PNo_Hom-M861_E02191N3680_S004	E02020N3739E02658N3366	PS	8.61	21.91	36.8	S004	Str	PNo	Hom								36792191	60.0
E01517N3917E01678N3772-PS-Str_PNo_Hom-M754_E01575N3795_S000	E01517N3917E01678N3772	PS	7.54	15.75	37.95	S000	Str	PNo	Hom								37951575	30.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02218N3646_S003	E02020N3739E02658N3366	PS	8.61	22.18	36.46	S003	Str	PYes	Hom								36462218	42.0
E01517N3917E01678N3772-PS-Mur_PYes_Hom-M774_E01575N3795_S000	E01517N3917E01678N3772	PS	7.74	15.75	37.95	S000	Mur	PYes	Hom								37951575	30.0
E01517N3917E01678N3772-PS-Str_PYes_Var-M792_E01620N3835_S000	E01517N3917E01678N3772	PS	7.92	16.2	38.35	S000	Str	PYes	Var								38351620	25.0
E02113N3823E02873N3483-PS-Mur_PNo_Hom-M861_E02243N3633_S001	E02113N3823E02873N3483	PS	8.61	22.43	36.33	S001	Mur	PNo	Hom								36332243	65.0
E02113N3823E02873N3483-PS-Mur_PNo_Hom-M861_E02226N3659_S001	E02113N3823E02873N3483	PS	8.61	22.26	36.59	S001	Mur	PNo	Hom								36592226	68.0
E01517N3917E01678N3772-PS-Mur_PYes_Var-M792_E01587N3805_S000	E01517N3917E01678N3772	PS	7.92	15.87	38.05	S000	Mur	PYes	Var								38041587	32.0
E02113N3823E02873N3483-PS-Mur_PNo_Hom-M850_E02236N3646_S000	E02113N3823E02873N3483	PS	8.5	22.36	36.46	S000	Mur	PNo	Hom								36462236	69.0
E02020N3739E02658N3366-PS-Mur_PNo_Hom-M861_E02218N3646_S001	E02020N3739E02658N3366	PS	8.61	22.18	36.46	S001	Mur	PNo	Hom								36462218	42.0
E01964N3926E02184N3685-PS-Str_PYes_Hom-M850_E02067N3699_S000	E01964N3926E02184N3685	PS	8.5	20.67	36.99	S000	Str	PYes	Hom								36992067	45.0
E02020N3739E02658N3366-PS-Str_PNo_Hom-M861_E02191N3680_S003	E02020N3739E02658N3366	PS	8.61	21.91	36.8	S003	Str	PNo	Hom								36792191	60.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02193N3666_S004	E02020N3739E02658N3366	PS	8.61	21.93	36.66	S004	Str	PYes	Hom								36652193	52.0
E02020N3739E02658N3366-PS-Str_PNo_Hom-M861_E02204N3672_S004	E02020N3739E02658N3366	PS	8.61	22.04	36.72	S004	Str	PNo	Hom								36722204	57.0
E02113N3823E02873N3483-PS-Str_PNo_Hom-M850_E02218N3671_S000	E02113N3823E02873N3483	PS	8.5	22.18	36.71	S000	Str	PNo	Hom								36712218	52.0
E01517N3917E01678N3772-PS-Mur_PYes_Hom-M774_E01587N3805_S000	E01517N3917E01678N3772	PS	7.74	15.87	38.05	S000	Mur	PYes	Hom								38041587	32.0
E02020N3739E02658N3366-PS-Str_PNo_Hom-M861_E02204N3672_S002	E02020N3739E02658N3366	PS	8.61	22.04	36.72	S002	Str	PNo	Hom								36722204	57.0
E01517N3917E01678N3772-PS-Str_PNo_Var-M792_E01620N3835_S000	E01517N3917E01678N3772	PS	7.92	16.2	38.35	S000	Str	PNo	Var								38351620	25.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02218N3646_S005	E02020N3739E02658N3366	PS	8.61	22.18	36.46	S005	Str	PYes	Hom								36462218	42.0
E01964N3926E02184N3685-PS-Mur_PYes_Hom-M850_E02067N3699_S000	E01964N3926E02184N3685	PS	8.5	20.67	36.99	S000	Mur	PYes	Hom								36992067	45.0
E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02191N3680_S004	E02020N3739E02658N3366	PS	8.61	21.91	36.8	S004	Str	PYes	Hom								36792191	60.0
E02020N3739E02658N3366-PS-Str_PNo_Hom-M861_E02207N3659_S004	E02020N3739E02658N3366	PS	8.61	22.07	36.59	S004	Str	PNo	Hom								36592207	43.0
E02113N3823E02873N3483-PS-Mur_PNo_Hom-M861_E02243N3633_S002	E02113N3823E02873N3483	PS	8.61	22.43	36.33	S002	Mur	PNo	Hom								36332243	65.0
E01517N3917E01678N3772-PS-Mur_PNo_Hom-M754_E01575N3795_S000	E01517N3917E01678N3772	PS	7.54	15.75	37.95	S000	Mur	PNo	Hom								37951575	30.0
E01548N3896E01854N3659-PS-Mur_PNo_Hom-M809_E01644N3837_S000	E01548N3896E01854N3659	PS	8.09	16.44	38.37	S000	Mur	PNo	Hom								38361644	19.0
