timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2025/02/14 14:20:29.168, 0, NVIDIA A100 80GB PCIe, 22 %, 0 %, 27641 MiB, 81920 MiB
2025/02/14 14:20:29.169, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:20:29.170, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:20:29.170, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:20:59.172, 0, NVIDIA A100 80GB PCIe, 36 %, 10 %, 27641 MiB, 81920 MiB
2025/02/14 14:20:59.173, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:20:59.173, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:20:59.174, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:21:29.175, 0, NVIDIA A100 80GB PCIe, 49 %, 19 %, 27641 MiB, 81920 MiB
2025/02/14 14:21:29.176, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:21:29.177, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:21:29.178, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:21:59.180, 0, NVIDIA A100 80GB PCIe, 72 %, 30 %, 27641 MiB, 81920 MiB
2025/02/14 14:21:59.180, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:21:59.181, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:21:59.181, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
