,Train_size,Depth,Site,True,Pred,Bias,Sigma
25,892,2.5,2,6.9633672609836665e-06,1.0406524661609819e-05,3.443157400626152e-06,5.769857480636599e-06
26,892,2.5,3,1.6397590145028309e-06,2.029019290987611e-06,3.8926027648478017e-07,1.6920303845710092e-06
27,892,2.5,4,1.7544427594776545e-05,2.4461613489363133e-05,6.9171858945865876e-06,2.9704517019821987e-05
28,892,2.5,5,0.0001627210058078646,0.00024874319648303503,8.602219067517042e-05,0.00012113251707379641
29,892,2.5,6,4.980955713710995e-06,5.990143757845657e-06,1.009188044134662e-06,5.100662113723013e-06
30,892,2.5,7,2.0570886881830543e-05,2.264463066130743e-05,2.073743779476887e-06,2.0559978270034357e-05
31,892,2.5,8,9.768929627346277e-07,7.978582558919878e-07,-1.7903470684263982e-07,5.934365338406482e-07
32,892,2.5,9,1.4935754808249986e-05,1.8384748742447877e-05,3.4489939341978903e-06,1.4832449398216112e-05
33,892,2.5,10,1.585005364599623e-06,1.986635763765473e-06,4.0163039916585005e-07,3.3480586014777057e-06
34,892,2.5,11,8.031347903566456e-07,9.792323752104215e-07,1.7609758485377588e-07,6.589298535195505e-07
35,892,2.5,12,2.2698084423608207e-08,7.83038287666727e-10,-2.1915046135941482e-08,8.19756507284856e-08
36,1658,2.5,1,9.790820556949785e-06,1.2123892328932234e-05,2.333071771982449e-06,8.664761547542255e-06
37,1658,2.5,2,6.9633672609836665e-06,1.0505101411221336e-05,3.5417341502376697e-06,6.660921693484571e-06
38,1658,2.5,3,1.6397590145028309e-06,2.097757920629529e-06,4.579989061266983e-07,2.6692925050689974e-06
39,1658,2.5,4,1.7544427594776545e-05,2.377609581015145e-05,6.231668215374904e-06,1.988193077309904e-05
40,1658,2.5,5,0.0001627210058078646,0.00019914345227849486,3.642244647063025e-05,7.648630631773372e-05
41,1658,2.5,6,4.980955713710995e-06,6.273472628885886e-06,1.2925169151748907e-06,3.5718043618194157e-06
42,1658,2.5,7,2.0570886881830543e-05,2.3504091869315304e-05,2.933204987484761e-06,1.350389853585195e-05
43,1658,2.5,8,9.768929627346277e-07,1.0815444930068748e-06,1.0465153027224715e-07,3.835182433340681e-07
44,1658,2.5,9,1.4935754808249986e-05,1.4843383721364311e-05,-9.237108688567511e-08,1.17745215875231e-05
45,1658,2.5,10,1.585005364599623e-06,2.7181968577698572e-06,1.1331914931702343e-06,2.077645663510977e-06
46,1658,2.5,11,8.031347903566456e-07,8.17217903818009e-07,1.408311346136333e-08,6.543013449220443e-07
47,1658,2.5,12,2.2698084423608207e-08,9.1803105960518e-09,-1.3517773827556407e-08,7.163955679926585e-08
48,3454,2.5,1,9.790820556949785e-06,1.2470080001917432e-05,2.679259444967647e-06,7.492795741486645e-06
49,3454,2.5,2,6.9633672609836665e-06,9.13859357552062e-06,2.175226314536954e-06,8.461006997353711e-06
50,3454,2.5,3,1.6397590145028309e-06,2.168890957529066e-06,5.29131943026235e-07,7.874431764066802e-07
51,3454,2.5,4,1.7544427594776545e-05,2.1582370798503922e-05,4.037943203727377e-06,1.863244571058925e-05
52,3454,2.5,5,0.0001627210058078646,0.00020697796104076775,4.4256955232903144e-05,9.880781868043607e-05
53,3454,2.5,6,4.980955713710995e-06,5.735980521658734e-06,7.550248079477387e-07,3.0287589566191848e-06
54,3454,2.5,7,2.0570886881830543e-05,2.2766160070405927e-05,2.195273188575384e-06,9.446311635981419e-06
55,3454,2.5,8,9.768929627346277e-07,9.203126733549128e-07,-5.65802893797149e-08,5.449367697136341e-07
56,3454,2.5,9,1.4935754808249986e-05,1.5442101837083097e-05,5.063470288331107e-07,1.2028546900443773e-05
57,3454,2.5,10,1.585005364599623e-06,1.8944482983712157e-06,3.0944293377159275e-07,7.296610170733729e-07
58,3454,2.5,11,8.031347903566456e-07,9.994063656576648e-07,1.9627157530101914e-07,5.869738839222432e-07
59,3454,2.5,12,2.2698084423608207e-08,1.8781177241862977e-08,-3.9169071817452305e-09,7.389274421032426e-08
60,7071,2.5,1,9.790820556949785e-06,1.1938698311932276e-05,2.147877754982491e-06,7.703588030522123e-06
61,7071,2.5,2,6.9633672609836665e-06,9.466133200912123e-06,2.5027659399284567e-06,5.623604646906776e-06
62,7071,2.5,3,1.6397590145028309e-06,2.04601985050505e-06,4.0626083600221907e-07,1.2457914830677399e-06
63,7071,2.5,4,1.7544427594776545e-05,2.146853271038141e-05,3.924105115604865e-06,1.9962944466696528e-05
64,7071,2.5,5,0.0001627210058078646,0.0001968001868153456,3.407918100748099e-05,7.58002186576077e-05
65,7071,2.5,6,4.980955713710995e-06,5.110047045163675e-06,1.2909133145268e-07,3.2156989020513302e-06
66,7071,2.5,7,2.0570886881830543e-05,2.441609480592474e-05,3.845207924094196e-06,1.0526403783762076e-05
67,7071,2.5,8,9.768929627346277e-07,9.70919999841985e-07,-5.972962892642698e-09,2.0964390534322029e-07
68,7071,2.5,9,1.4935754808249986e-05,1.5110811043605547e-05,1.750562353555607e-07,1.2362543923612432e-05
69,7071,2.5,10,1.585005364599623e-06,1.6278086046754183e-06,4.2803240075795406e-08,2.0109012334189732e-06
70,7071,2.5,11,8.031347903566456e-07,7.777354518875528e-07,-2.5399338469092812e-08,5.413768157262129e-07
71,7071,2.5,12,2.2698084423608207e-08,8.382824566429558e-09,-1.431525985717865e-08,1.0745176659273453e-07
